,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5
0,OTUD4,1.251368804720194,LYRM1,2.5470623313839784,KRT4,1.5086733408085948,TA,2.3567679796292906,SI:RP71-45K5.2,1.147978454913024,SI:DKEY-28A3.2,1.117101743955067
1,SI:CH73-1A9.3,1.2401982400835514,AGRP2,2.205699441963768,KRT5,1.4300683772266565,EVE1,2.1007749574465207,BTG4,1.1173222540829284,KCNK4,1.0431699310112514
2,PPIB,1.2144792368026407,RAPGEF6,2.1482622185507445,KRT92,1.4281984965163905,WNT11,1.9505570004721946,DDIT4,1.0668379301633273,FTR36,1.0424549540033778
3,SI:CH211-222L21.1,1.2108251006486044,CABZ01084942.1,2.124875470464023,KRT18,1.426741459770652,CDX4,1.8363299528736456,SI:DKEY-11O15.10,1.020963322411386,HS3ST3B1B,1.032759143031448
4,KIAA0101,1.2050590252663576,MYO3A,2.0911768834370523,LYE,1.415809563410458,ZNF703,1.7547715295879405,RPAIN,0.9911780095215026,JAG1B,1.0301273614874964
5,SI:DKEY-16M19.4,1.2000935308680238,ANO9A,2.0889593086416767,KRT97,1.4061331848768075,AXIN2,1.5233163823406526,HSP90AA1.2,0.9822634189260776,NRXN1B,1.002872167749184
6,SI:DKEY-23A13.4,1.1869816503339634,SI:CH73-195I19.3,2.0473243964722903,CLDNE,1.3925491267929366,SP5A,1.5186854084002024,TDRD7A,0.981568635088783,SI:CH211-171H4.5,0.973025702196993
7,SI:DKEY-95P16.2,1.1839551055228437,ZGC:171775,1.9093682439354096,MID1IP1A,1.3823520639944582,TPBGA,1.5123391821768786,CLDNG,0.9617671401102008,SI:DKEY-186O21.1,0.9711114763958302
8,SI:CH211-113A14.16,1.1799907168097905,TOP1,1.8496176336189143,KRT8,1.3609615253096827,MSX1B,1.478038427887496,ZGC:56231,0.9512705683815877,RHD,0.9528583361145984
9,FTL,1.1780199149298605,ZGC:173587,1.821962144772109,SI:CH211-125O16.4,1.3498611936716796,MIXL1,1.340180471352708,ZGC:77112,0.9509682335169848,TNFAIP8L2A,0.9520347897356869
10,RPL6,1.166808690871813,DIABLOA,1.8086277638014647,ZGC:101000,1.3472127219120191,GBX1,1.307422560386962,SLC25A25A,0.9503463865923653,RYR1A,0.9444530060754187
11,ZGC:158463,1.1601579560375945,FNIP1,1.7894760826989113,ZNF185,1.33488520323961,ZNF503,1.2497636288863403,SI:DKEY-163F14.5,0.9430182819175574,GRB7,0.9432588596143211
12,TSR2,1.159894900249944,HNRNPA0B,1.7816795199501698,CEBPB,1.3283952921616313,IM:7138239,1.1919143393464884,SI:DKEY-1D7.3,0.9299769235667432,CPE,0.9240206201168182
13,GTF2H5,1.1591920566181673,NME2A,1.6101503417722858,EPS8L1,1.3229110873527454,DLD,1.1767163882924834,LSM14B,0.893879979041551,CNNM1,0.9218811258119427
14,DUT,1.1585411431622632,GPRC5BB,1.587660858487993,CLDN23,1.2967427585632094,ATP1B3A,1.1324411935231877,MID1IP1L,0.8766615334370891,SI:DKEY-48G21.5,0.9063400028777308
15,ALDOB,1.1560222756182612,HUWE1,1.5174475476759408,FTR83,1.2685477350851522,ZIC2A,1.1117427814747265,NANOS3,0.8718875469226031,SI:CH211-178N15.1,0.8966610627910294
