,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11
0,NCALDA,1.077091594155448,LYRM1,2.4875984006432947,KRT18,1.3527887194466859,TA,2.2927846338472753,NANOS3,1.2826243227231269,SI:DKEY-28A3.2,1.4050714836953653,SI:CH211-242H13.4,1.2334631343218492,CHD,1.7904361479877375,SI:CH1073-80I24.3,1.0636949636653987,AFP4,1.0030631328318256,SI:DKEY-261M9.17,1.4065336924829466,PHLDA3,1.377230162250529
1,RHEBL1,1.0430735720107003,MYO3A,2.1747795805206525,CLDNE,1.3414209764619873,EVE1,2.075085547084501,HSP90AA1.2,1.1892876487486015,JAG1B,1.2125288569515542,PRKRIP1,1.0216130451183514,FOXD3,1.3418115399806783,SI:CH211-139K8.4,0.974685743729543,SLC7A8A,0.9799183517215289,HIST2H3C,1.3175486790769952,MDM2,1.1864991737924244
2,GDF3,1.032160685614412,AGRP2,2.1400732838762235,KRT4,1.3372516782647228,WNT11,1.9319843712782927,TDRD7A,1.1592834202468445,HS3ST3B1B,1.1898228951544094,PPIB,0.9212069540594134,ADMP,1.3216486976299955,SI:DKEY-188C14.4,0.9189044360340258,SLC3A2B,0.9205945405974187,SI:CH211-113A14.10,1.2967798167517341,SI:CH211-260E23.9,1.0526290395291864
3,SI:CH211-190K17.31,1.0320349906524746,RAPGEF6,2.1320182959073235,KRT5,1.319180440922891,CDX4,1.807985278596373,DND1,1.0201760347026112,NRXN1B,1.1482614458731597,OTUD4,0.9160801426411225,CDH2,0.9920479255228294,UBA52,0.8368950108690334,HNF4A,0.8400463155680747,SI:DKEY-108K21.14,1.2421006217491013,FOXO3B,0.9924917479549976
4,CR391944.1,1.021282073521384,SI:CH73-195I19.3,2.0856694091887955,KRT92,1.3138644630503091,ZNF703,1.7564360677572144,BTG4,1.0062438982315494,SI:DKEY-186O21.1,1.130864498910221,HSP90AB1,0.9098909991390145,ZIC3,0.958281717466655,SI:CH211-222L21.1,0.8288966403117443,CTSLL,0.786675289158489,SI:CH1073-159D7.7,1.236413901913553,CTSH,0.9901543921449002
5,SI:DKEY-15H14.4,1.0109074621485632,CABZ01084942.1,2.060503206927836,LYE,1.3129366576002932,AXIN2,1.4954298779318416,ACTL7A,0.9940800554132797,HSD17B2,1.1051057012460068,GTF2H5,0.8915384634897099,GSC,0.9483100066075625,PRDM14,0.8161317976293071,SPAW,0.7649191391287969,SI:CH211-113A14.15,1.1876007502858863,APLNRB,0.9852284554223775
6,SI:DKEY-30F3.2,1.0006946121044786,ANO9A,2.0534256218814324,MID1IP1A,1.2892818000254018,SP5A,1.4890672556925886,CA15B,0.9446839754659269,CPE,1.0930187299858636,EIF5,0.8731467936518429,FOXB1A,0.9301236789450341,MAP2K6,0.8081824015739669,ANXA1A,0.747244551040606,ZGC:153405,1.1789706482433266,RBL2,0.9713702008950549
7,BX005448.2,0.9761542302636211,ZGC:171775,1.8328677246457705,EPS8L1,1.27895875603175,TPBGA,1.4817590549143316,SI:DKEY-11O15.10,0.9421526256711361,SYNGAP1A,1.0825051228217135,FTL,0.8463667079494069,PRICKLE1A,0.9088500144984679,RPS15A,0.8023789851116591,FBP1B,0.6573170666787501,SI:CH211-113A14.24,1.1644380841032949,SESN3,0.9390998358418171
8,BX324155.1,0.9705487042998985,FNIP1,1.801887665147935,ZNF185,1.2545727741889443,MSX1B,1.4740470749771877,FHDC3,0.8772788626697281,CNNM1,1.0714134656205758,SI:DKEY-48G21.5,0.8441596773077247,FOXD5,0.8827331289451844,RPS2,0.7894968938659332,FGF17,0.6553442584618038,SI:DKEY-108K21.21,1.1249888366640122,BCL2L14,0.8904325223793714
9,BIRC5B,0.9679475643892946,TOP1,1.7846241029103938,KRT8,1.2490584644419926,MIXL1,1.3553610742892297,SKA2,0.8717641075499922,BX546500.1,1.063831350744299,SI:DKEY-234I14.20,0.8382300676347075,IER2,0.8707605016876794,PSMA4,0.7722201257802066,TELO2,0.6493059728291448,SI:DKEY-23A13.15,1.0825177518295863,CASP8,0.8668095751551476
