,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15,Module 16,Weights 16,Module 17,Weights 17
0,SZL,1.378295087923514,LYRM1,2.5351997920597498,KRT18,1.3594702727026333,TA,2.406268005625823,BX324155.1,0.9159417527630997,SI:CH211-242H13.4,1.4287277553513948,SI:DKEYP-3B12.7,1.0656454401641675,CHD,1.815644281897202,SI:DKEYP-3B12.10,1.067663574101011,BX546500.1,1.2120655606337922,SI:DKEY-261M9.17,1.4993359731410956,PHLDA3,1.425136909822912,BZW1A,1.1037731716294703,TELO2,0.7215649545951918,HSP90AA1.2,1.8701465127239858,NANOS3,1.578119298448234,SI:CH211-139K8.4,1.182725650139509,CAMSAP3,0.8922120969288806
1,BMP4,1.2212699002886291,MYO3A,2.2306081041855457,MID1IP1A,1.3552150517260244,EVE1,2.1069862351091206,DDIT4,0.887621411921366,RNASEP_NUC,0.9447103798217764,SI:DKEYP-3B12.6,0.9689388127105265,FOXD3,1.3820391482226304,ENSDART00000172356,1.0597666458742645,CAMSAP2A,1.0522173352657922,HIST2H3C,1.2354330917601746,MDM2,1.1977492557041192,GDF3,1.0853206438467515,FTH1B,0.6809709836823369,HSP70.3,1.2217367658711868,DND1,1.4030990048463232,PRDM14,1.1389947644887646,SI:CH211-69B7.6,0.8446670429964188
2,GATA2A,1.1934651358027513,RAPGEF6,2.193233658396218,KRT4,1.3422637313405155,WNT11,1.998282142503036,EGLN3,0.8255705005340953,SI:DKEY-48G21.5,0.9243009404842313,KIAA0101,0.8534047149051397,ADMP,1.2617614161000976,ZGC:158463,0.9727074231767461,SI:DKEY-28A3.2,1.0502028963263652,SI:CH211-113A14.10,1.147029828235867,SI:CH211-260E23.9,1.1038898559722046,P4HB,0.9981036298628553,SRRD,0.6561562772725815,HSP70.1,0.8608387607881932,TDRD7A,1.3892711032931042,SI:DKEY-188C14.4,1.1265157265635297,JAG1B,0.8267461675864087
3,APOC1,1.092019290784413,SI:CH73-195I19.3,2.1818936921053367,CLDNE,1.3249014724514188,CDX4,1.8637924464122286,SI:DKEY-1D7.3,0.818725526483654,SI:DKEY-234I14.20,0.9206408262618576,OTUD4,0.7923230764595011,ZIC3,0.9516777020613603,SI:DKEY-108K21.21,0.9710057782457331,SYNGAP1A,1.0490224821217977,ENSDART00000129497,1.046582472008274,APLNRB,1.0620509309148638,RHEBL1,0.9636543112655322,SI:CH211-117I10.10,0.6454569506999784,CABZ01080568.1,0.8184902881598503,ACTL7A,1.293190388049973,EFNB2A,1.0530035022390825,AIM1B,0.8208452979088952
4,FOXI1,1.090240095520113,AGRP2,2.159677340922657,KRT5,1.3248102882770514,ZNF703,1.8088354792233126,BX005448.2,0.8044227450808334,PGAM1A,0.8786738310427539,CLIP4,0.776083761907308,FOXB1A,0.9107737954835909,SI:CH1073-159D7.7,0.9564009661990172,SLC7A8A,0.9790168074721645,SI:DKEY-23A13.15,1.044351520815214,FOXO3B,1.0473695700750836,FAM78BB,0.9118168391810123,SI:CH211-235I11.3,0.6447746679308987,HSP70.2,0.7863880039167293,DDX4,1.1008964559499492,LHX5,0.9918257968603595,EVPLA,0.8093465711105757
5,BMP7A,1.0674485220742636,CABZ01084942.1,2.153907227987507,ZGC:101000,1.3240039207266374,AXIN2,1.6018779260080278,CR391944.1,0.7919227701762498,CPN1,0.7796574891499394,HSP90AB1,0.7717725844159863,NOTO,0.8745526008108009,ZGC:113984,0.9402408053944066,PLECA,0.9458055694008761,ZGC:153405,0.9822727962848713,CTSH,1.0367826359494117,SI:DKEY-6D5.4,0.8873026538282041,TSG101A,0.6389401001199139,SERPINH1B,0.6737416519260574,CA15B,1.0959075303952677,SOX2,0.9220690475100943,DSPA,0.7182485453587344
6,CBFA2T2,0.952149677292122,ANO9A,1.9872263019887209,LYE,1.3175290938451962,SP5A,1.5825889697364237,SI:CH211-190K17.31,0.7824681839164713,SI:DKEYP-55H4.2,0.7678659101115706,PRKRIP1,0.7443605493386762,PRICKLE1A,0.8534389241004762,SI:DKEYP-3B12.12,0.9380233897341925,HS3ST3B1B,0.9102141297218345,SI:CH211-113A14.24,0.9658486139200695,RBL2,1.0011837736248086,SKP2,0.885420119397677,AFP4,0.6350943592542176,HSPA4A,0.6623623964644686,GRA,0.9705343979849288,PCDH18B,0.9007986297108038,MCHR2,0.6829632237078168
7,TFAP2C,0.8831523267588332,ZGC:171775,1.8844004972534805,KRT92,1.297449460238125,TPBGA,1.5100878902501478,SI:DKEY-15H14.4,0.7798817479777541,SI:CH1073-190K2.1,0.7505243410257975,SI:CH211-113A14.16,0.743285461564796,FOXD5,0.8519248790748403,SI:CH73-36P18.2,0.8911619282530913,SI:DKEY-186O21.1,0.8933257899101904,ZGC:165555,0.8828059335238412,SESN3,0.9387092289471801,MKRN4,0.8739412771671172,RAB3IL1,0.6296787588351392,ADGRE10,0.5946244090481531,RGS14A,0.9321512506926518,LAMA1,0.8667957570531253,NRXN1B,0.6725868129712264
8,INSM1B,0.8514250494671227,TOP1,1.8276936176852143,KRT97,1.2778730587710814,MSX1B,1.4806635145872156,RHEBL1,0.7782013613985685,EIF5,0.7322732561489003,SI:DKEY-23A13.4,0.7432325737655945,GSC,0.8478743506966068,ZGC:171759,0.8873602114270248,TNFAIP8L2A,0.8830273679169964,SI:DKEY-261M9.15,0.8503922100995112,BCL2L14,0.9374070534524613,PPIB,0.8713229587612542,WDTC1,0.6177347663137286,SI:DKEY-146C18.5,0.5846811654423552,ICE1,0.8028713432444149,SLC38A5B,0.8661363418965373,PLECA,0.6512946280897833
9,CLUHA,0.84647497280221,FNIP1,1.8196702548876456,KRT8,1.2703875882014015,MIXL1,1.4101021610053093,SI:DKEY-30F3.2,0.7587849436392647,PPIB,0.71728521788591,SI:CH211-113A14.10,0.7407708103803945,IER2,0.8213428338782078,CNIH4,0.8861769194165001,JAG1B,0.8796339469823679,SI:DKEY-108K21.14,0.8436688121199295,CASP8,0.8937296067914543,RBM4.3,0.8664394481866415,FBXO30A,0.6121203753502469,MYCN,0.5689810672771677,BTG4,0.7718371801988347,FZD7A,0.8607962860746559,ZNF185,0.6503280279063759
