,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14,Module 15,Weights 15,Module 16,Weights 16,Module 17,Weights 17
0,BMP4,1.1776433386659477,LYRM1,2.615779143850456,MID1IP1A,1.3191583622675171,TA,2.4409338407687247,RHEBL1,0.8979851081552832,SI:CH211-242H13.4,1.1116342572091251,SI:DKEYP-3B12.7,1.082828172822695,CHD,1.557128219571496,SI:DKEY-95P16.2,0.8529585412566594,BX546500.1,1.1995005444329834,SI:DKEY-261M9.17,1.6210880456776524,PHLDA3,1.3879580750502327,PPIB,1.0944665456715679,TELO2,0.6972739312688169,HSP90AA1.2,1.8859234810887089,SI:CH211-69B7.6,0.84225855007639,NANOS3,1.590436309839126,SI:DKEY-11O15.10,1.0470944231178028
1,GATA2A,1.1666966739063136,RAPGEF6,2.367621906993729,KRT18,1.3101534439525349,EVE1,2.1611728679461164,SI:DKEY-15H14.4,0.8362690564807841,SI:DKEY-97L11.1,0.883406344737432,SI:DKEYP-3B12.6,0.9537514746283903,ADMP,1.3903953564636982,SI:DKEY-16M19.4,0.8382484205016921,SI:DKEY-28A3.2,1.0380849882889558,HIST2H3C,1.3164641825228887,MDM2,1.1909285425059097,BZW1A,1.0342896470358072,FTH1B,0.6860494947170187,HSP70.3,1.2690106381953217,CAMSAP3,0.8408438662911343,DND1,1.4985344107312508,CNOT4B,1.037567133529373
2,SZL,1.1143009578756742,MYO3A,2.3622462721822624,KRT4,1.2906664878213043,WNT11,1.9949538015509258,SI:DKEY-199M13.4,0.8355174674988897,SI:CH1073-190K2.1,0.8591658480296599,OTUD4,0.8473396489900856,FOXD3,1.3513906675536111,SI:CH1073-80I24.3,0.7998783320433062,CAMSAP2A,0.963943638165641,SI:CH211-113A14.10,1.23181376777897,SI:CH211-260E23.9,1.074694074834887,CDKN1BB,0.984425766950712,SI:CH211-117I10.10,0.6682979007146471,HSP70.1,0.8974462293688547,EVPLA,0.7962484256310725,TDRD7A,1.325042551469524,SI:DKEY-199K11.6,0.9658086281160709
3,APOC1,1.0758144447229476,SI:CH73-195I19.3,2.337533047596587,KRT5,1.2807943746984907,CDX4,1.8750291053825374,CR391944.1,0.8306420189010981,SI:DKEY-108K21.21,0.8315139806726994,KIAA0101,0.8295535392080715,ZIC3,1.2967263703878178,SI:CH211-195B11.4,0.7776646878017799,SYNGAP1A,0.9590001640613258,SI:DKEY-23A13.15,1.10634503795498,APLNRB,1.0267645683635305,P4HB,0.9666569871387504,RAB3IL1,0.6569823634578575,CABZ01080568.1,0.8125018260176206,AIM1B,0.7720855691237559,ACTL7A,1.3147016972846772,DIP2BA,0.9092670128105492
4,BMP7A,1.0430602183949862,AGRP2,2.235686893530896,ZGC:101000,1.2687752874293512,ZNF703,1.8317162715690403,SI:CH211-190K17.31,0.8286369962436487,SI:DKEY-234I14.20,0.8306081460400169,HSP90AB1,0.7828563571588506,PRICKLE1A,0.9415922123524003,ENSDART00000172356,0.7696616299487339,HS3ST3B1B,0.9414260847778841,ENSDART00000129497,1.0563067083228495,FOXO3B,1.0023654019186963,GDF3,0.9587154704615289,SI:CH211-235I11.3,0.6520412734794235,HSP70.2,0.7844522444071939,JAG1B,0.7700293044869618,DDX4,1.127449083349352,LLGL1,0.9080110530822769
5,FOXI1,0.9473942493409604,CABZ01084942.1,2.2322798631199876,CLDNE,1.2655233091036155,AXIN2,1.5612379981037965,BX324155.1,0.8151509814125133,SI:DKEY-122C11.4,0.8128126613394002,SI:CH211-113A14.10,0.7723527503412299,FOXD5,0.8885789634059078,SI:CH211-113A14.16,0.7671504078031026,PLECA,0.939330898281717,SI:CH211-113A14.24,1.049425680835803,CTSH,0.9903397186320448,FAM78BB,0.9005087195436142,SRRD,0.6475041099266241,SERPINH1B,0.7793374629143665,MCHR2,0.6860495314411326,CA15B,1.0746033285329835,CABZ01009880.1,0.8839996511682443
6,TFAP2C,0.9390341942073681,ZGC:171775,2.046339612807112,LYE,1.2614809220529488,SP5A,1.518280665761779,DDIT4,0.8128895677083353,SI:DKEY-48G21.5,0.7975464935309862,CLIP4,0.7687772072465473,FZD8A,0.8776162428758363,MAP2K6,0.7465403504021301,SLC7A8A,0.9246039457920596,ZGC:153405,1.0462264779028594,RBL2,0.971536572369495,TSR2,0.896713605606125,TSG101A,0.62736663978153,TMEM205,0.6723786104498467,PLECA,0.6732922787307796,RGS14A,0.9678388847703913,PCM1,0.8767637063938087
7,CBFA2T2,0.9117989634572083,TOP1,2.0259055401076886,CLDN23,1.2568015581906062,TPBGA,1.5159223894678662,CR450785.2,0.8026844275760128,SI:CH211-212K5.1,0.7923474367951827,PRKRIP1,0.7412077196737422,SESN3,0.865148443870712,SI:CH211-222L21.1,0.741356484382109,TNFAIP8L2A,0.9173185818086314,ZGC:165555,0.9790903140646767,SESN3,0.9111051692752157,FTL,0.8853914911210058,WDTC1,0.6264166935492741,ADGRE10,0.6711439311078028,ZNF185,0.6656665686524909,GRA,0.9172341342086422,MAP7,0.8685192022358721
8,VED,0.8706419353211964,ANO9A,2.0204418586074926,KRT97,1.2546591162820855,MSX1B,1.508677116689635,NCALDA,0.7997785209179085,ZNF1125,0.7921889667947793,SI:DKEY-153M14.1,0.7353118356893583,FOXB1A,0.8535395222067299,SI:CH211-130H14.6,0.7393637574296248,JAG1B,0.8982533860648085,SI:DKEY-261M9.15,0.9513378589182012,BCL2L14,0.8922485552168796,MKRN4,0.8598700558136736,SLC9A8,0.6162599081056727,SI:DKEY-261J4.3,0.6098737486980089,DSPA,0.6656612931521992,ICE1,0.7696058977493102,CHD6,0.8644372897226265
9,PCM1,0.8396691002015733,DIABLOA,1.93611187919308,KRT92,1.2467989521120622,MIXL1,1.4141610127018787,EGLN3,0.7990170520647158,TM4SF19,0.7828498889635983,SI:DKEY-23A13.4,0.7323445288837761,ZEB1A,0.8306266802353287,POLR3GLA,0.7163211614876501,CPE,0.8908786422104231,SI:CH211-113A14.15,0.9187528514459615,CASP8,0.8605632123000361,RHEBL1,0.8544581565710587,KIF18A,0.6092180780944303,SI:CH211-210C8.5,0.5949876184506352,VPS13A,0.6575802570597904,BTG4,0.6848632006294748,RBM27,0.8561165092325561
