,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5
0,OTUD4,1.2513687936080584,LYRM1,2.5470623360494877,KRT4,1.508673338351843,TA,2.3567679745291907,SI:RP71-45K5.2,1.1479784516931497,SI:DKEY-28A3.2,1.1171017403472019
1,SI:CH73-1A9.3,1.2401982283263349,AGRP2,2.205699445856099,KRT5,1.4300683749349856,EVE1,2.1007749528665283,BTG4,1.1173222481123697,KCNK4,1.0431699279623106
2,PPIB,1.21447922552269,RAPGEF6,2.1482622225337056,KRT92,1.4281984941886516,WNT11,1.9505569961186073,DDIT4,1.0668379268352837,FTR36,1.0424549509494354
3,SI:CH211-222L21.1,1.2108250898954476,CABZ01084942.1,2.1248754743131726,KRT18,1.4267414574612196,CDX4,1.836329948824623,SI:DKEY-11O15.10,1.0209633186507725,HS3ST3B1B,1.0327591398430198
4,KIAA0101,1.205059014400125,MYO3A,2.0911768871154797,LYE,1.4158095611070916,ZNF703,1.7547715258222318,RPAIN,0.9911780060727765,JAG1B,1.0301273573719527
5,SI:DKEY-16M19.4,1.2000935203013352,ANO9A,2.0889593120424745,KRT97,1.4061331823751477,AXIN2,1.5233163789745758,HSP90AA1.2,0.9822634136230132,NRXN1B,1.0028721644204852
6,SI:DKEY-23A13.4,1.1869816397704525,SI:CH73-195I19.3,2.0473244001437174,CLDNE,1.3925491245400219,SP5A,1.5186854050312126,TDRD7A,0.9815686292889808,SI:CH211-171H4.5,0.973025699204471
7,SI:DKEY-95P16.2,1.1839550942555224,ZGC:171775,1.9093682473582543,MID1IP1A,1.3823520617629494,TPBGA,1.5123391789795393,CLDNG,0.9617671359034824,SI:DKEY-186O21.1,0.9711114733803586
8,SI:CH211-113A14.16,1.1799907061610944,TOP1,1.8496176371887945,KRT8,1.360961523152771,MSX1B,1.4780384246946114,ZGC:56231,0.9512705640797984,RHD,0.9528583331829243
9,FTL,1.1780199042525406,ZGC:173587,1.8219621479576291,SI:CH211-125O16.4,1.3498611916308825,MIXL1,1.3401804683815441,ZGC:77112,0.9509682287095256,TNFAIP8L2A,0.9520347868737161
10,RPL6,1.1668086801306892,DIABLOA,1.8086277671266302,ZGC:101000,1.3472127197249795,GBX1,1.3074225575841891,SLC25A25A,0.9503463828781138,RYR1A,0.9444530032168591
11,ZGC:158463,1.1601579455392108,FNIP1,1.7894760858972059,ZNF185,1.3348852011650314,ZNF503,1.2497636259287936,SI:DKEY-163F14.5,0.9430182779928911,GRB7,0.9432588567443745
12,TSR2,1.1598948892395935,HNRNPA0B,1.781679522904434,CEBPB,1.3283952900596276,IM:7138239,1.191914336807766,SI:DKEY-1D7.3,0.9299769223341249,CPE,0.9240206173494806
13,GTF2H5,1.1591920462867351,NME2A,1.6101503448901935,EPS8L1,1.3229110851691543,DLD,1.1767163858530365,LSM14B,0.8938799759792707,CNNM1,0.9218811224699861
