,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6
0,GDF3,1.108309757511039,LYRM1,2.534581117197287,KRT4,1.4640187160630667,TA,2.3441422401513563,TDRD7A,1.2184155398874696,SI:DKEY-28A3.2,1.1728378281049079,OTUD4,1.1788232299702006
1,RHEBL1,1.0827611933424424,AGRP2,2.195461180746466,KRT18,1.4323354479667783,EVE1,2.090345072218495,NANOS3,1.1747335129757608,JAG1B,1.0918686139165492,SI:CH211-242H13.4,1.162508073624046
2,CR391944.1,1.0389028663927011,RAPGEF6,2.142662908467334,LYE,1.420518420555294,WNT11,1.9346118281553137,BTG4,1.1463005955193801,FTR36,1.0854213500625172,PRKRIP1,1.0852141093852217
3,ALDOB,1.038839305359474,CABZ01084942.1,2.1127208337071344,KRT92,1.4143523655463892,CDX4,1.813592747348025,HSP90AA1.2,1.105443167737079,HS3ST3B1B,1.0842792205560785,SI:DKEY-153M14.1,1.0176292992115614
4,NCALDA,1.0283081401868246,MYO3A,2.100173820518922,MID1IP1A,1.3944582326564068,ZNF703,1.7463405727945756,ACTL7A,1.0678464175461502,KCNK4,1.0687048590973134,HSP90AB1,1.009973673848222
5,SI:CH211-195B11.4,1.0088554989488214,ANO9A,2.0848994025638934,KRT5,1.3915701834032517,TPBGA,1.5207886330711555,CA15B,1.0467359037583719,TNFAIP8L2A,1.0173359500017918,SI:DKEY-23A13.4,1.003300273830788
6,RGS3B,1.0066974991930704,SI:CH73-195I19.3,2.063667980294786,KRT97,1.3810248345169636,SP5A,1.5182006350260937,CLDNG,1.04415691402595,SI:DKEY-186O21.1,1.00224394624779,SI:DKEY-108K21.12,0.9999107627937439
7,CR450785.2,0.9914443270753949,ZGC:171775,1.8886524092632242,CLDNE,1.3762439635815689,AXIN2,1.5034799820460063,MID1IP1L,1.0377077872361156,CNNM1,0.9956940927655411,SI:CH211-117M22.2,0.9933506557896615
8,BZW1A,0.9890901370564769,TOP1,1.8235326643685745,ZGC:101000,1.3676050262220905,MSX1B,1.4737279091143558,SI:DKEY-163F14.5,0.9696689486895226,GRB7,0.9848624165247435,PPIB,0.9763898761099858
9,RAC1A,0.9887177240196665,ZGC:173587,1.8180802803690455,SI:CH211-125O16.4,1.3627685984904734,MIXL1,1.3343719982022826,ZGC:158852,0.9664458330441249,NRXN1B,0.979531010314434,SI:DKEY-23A13.15,0.9689370919815449
10,BX640584.2,0.9885946376775947,HNRNPA0B,1.8046524358697433,KRT8,1.3450573963289987,GBX1,1.2979155898546855,SI:RP71-45K5.2,0.9646317687765902,RHD,0.9611411018289272,ZGC:158463,0.9500979695002667
11,SI:DKEY-199M13.4,0.9872418716089213,DIABLOA,1.802738296855936,CEBPB,1.3414177836493437,ZNF503,1.2431017711661765,DND1,0.9182006632121827,SI:CH211-171H4.5,0.9527552063936775,STM,0.9493342856559386
12,BX901907.2,0.9794188552037365,FNIP1,1.776538569109026,EPS8L1,1.326842541082595,IM:7138239,1.1884638008677348,FHDC3,0.9062227235695074,CPE,0.9508575867902866,GTF2H5,0.9449233105888343
13,SI:DKEY-156K2.3,0.9781657863860868,NME2A,1.6032623253385547,ZNF185,1.3035984019254536,DLD,1.1318555607263163,RPAIN,0.895244075938557,LAMC1,0.9325670973029769,DUT,0.9444185358645723
14,SEPT12,0.9770473934598186,GPRC5BB,1.5946616551715338,CLDN23,1.2882660797793213,ZIC2A,1.107067579733045,DDX4,0.8927210208590514,SI:CH211-178N15.1,0.9237082322275392,KIAA0101,0.9424850561308002
15,PRMT1,0.9766801664277547,HUWE1,1.5155530733740292,ZGC:193505,1.275386065251656,NHSL1B,1.0921916524422262,SLC25A25A,0.8881455716537013,PARP6A,0.9064434136095187,SI:CH211-113A14.16,0.9340401699181208
16,SI:DKEY-95P16.2,0.9742939659728234,KLHL22,1.379960729313795,FTR83,1.2571521527907978,ATP1B3A,1.074246742378063,SI:DKEY-261J4.3,0.8745098447316033,HSD17B2,0.9060413529832426,SI:CH211-194E1.8,0.9247976332972023
17,SI:CH211-190K17.31,0.9738794616094467,NRXN1B,1.3715968237146232,KLF17,1.255081381994671,APOC1,1.039923501156728,SI:DKEY-11O15.10,0.8737237105847733,NCOA7,0.9058108768182397,FTL,0.9225970022167317
18,SI:DKEY-15H14.4,0.9602582581863963,CPE,1.3402107353837849,EVPLA,1.2405742201762466,PRICKLE1B,1.02514946870092,SKA2,0.8683062984556444,RYR1A,0.9053999721404462,EIF5,0.9146750973673797
19,SKP2,0.9537987396053339,PON1,1.328961084330618,FA2H,1.2363390550791538,HES6,1.0215126527926257,BMI1B,0.8589998521064073,SI:DKEY-58J15.10,0.9021668416311588,RPL12,0.913056041245385
20,ZIC2B,0.9477029834851227,CABZ01001464.1,1.2926585206978836,CLDNB,1.2189403016583689,VED,1.019516812721615,NEK2,0.8378026996194831,SYNGAP1A,0.9010413827942947,U1,0.9125840239733173
21,SLC38A3B,0.944672011243847,CYR61L2,1.2556485610192523,MGLL,1.2152765307946538,HER1,1.0012275116971063,ZGC:56231,0.8335683263859364,PDLIM5A,0.8881532174162053,SI:DKEYP-3B12.10,0.9103152960627807
22,SI:CH1073-80I24.3,0.9435915013504226,ZNF1057,1.2275092577416353,FTR82,1.2125008280761669,MSX3,0.9799947155331605,MAP7,0.8333067041504925,RNF213,0.8774048874784892,SI:DKEY-234I14.20,0.9088363932085458
23,SSBP3B,0.9411127718555401,SI:CH73-46J18.5,1.2229593297161245,SI:DKEYP-67A8.4,1.2088113525343203,SZL,0.9641138888170514,MAP1LC3C,0.8278044531391585,CR361561.2,0.873420967937135,CLIP4,0.9066591403176595
24,BX324155.1,0.9385963875426068,SETD2,1.2117976733643543,FUT9B,1.2081283232598556,SP5L,0.9604370341736347,ZGC:77112,0.8232487868036222,CSF1RB,0.864984610987566,CDKN1BB,0.8967054759435151
25,SI:DKEY-30F3.2,0.9358003640970598,MLXIP,1.2027960412403702,GRHL3,1.1992375846832186,LEF1,0.9587179746886623,PGK1,0.8192016649387831,ZNF644B,0.8600518928192658,SI:CH1073-159D7.7,0.8964909612260863
26,SOX3,0.9350828711964114,ZNF1068,1.2025622860908098,PLEKHF1,1.1799121195498294,ARL4AB,0.940702298528759,CTH1,0.8169250855957189,BX546500.1,0.8512224285565002,SI:DKEY-261M9.17,0.8939905462401441
27,SI:CH211-170D8.2,0.9318687680135277,CHD7,1.201704064905188,CYT1L,1.1770455652289573,WNT8A,0.9006433723630997,CLDND,0.8125718359463242,GRNAS,0.8488193699002542,SI:CH211-113A14.10,0.8868540856284457
28,SI:CH211-271G18.4,0.9300236939020717,SI:CH211-241E1.5,1.1980843666212115,ZGC:153911,1.1677117536543793,LAMB1A,0.895538649682242,LPCAT4,0.7992276878318377,JAKMIP2,0.8398687450101203,SI:CH211-272F15.5,0.8860970813197115
29,SOX2,0.9280003027160036,POLR2A,1.1883034246701303,HSD17B14,1.1467180393180962,VENT,0.8946975677243614,ANKRD12,0.7987036381104939,PHYHIP,0.8392920662511403,TOP1L,0.8749365106178332
