,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12
0,GATA2A,1.3000722962252649,LYRM1,2.6615393994104615,KRT4,1.3421880502404742,TA,2.366695639601611,NANOS3,1.4346906050045918,SI:DKEY-28A3.2,1.3858425979980267,SI:CH211-242H13.4,1.3912830474001905,ADMP,1.2076081108699785,SI:DKEYP-3B12.6,1.0197437993424963,PHLDA3,1.3878451154566984,SI:DKEY-261M9.17,1.6214806969396507,RHEBL1,1.3045676179701282,SLC7A8A,1.0834184496086703
1,SZL,1.2232171569987433,CABZ01084942.1,2.361364339502112,KRT92,1.333829802405583,EVE1,2.108560914885397,HSP90AA1.2,1.1782520415012983,CNNM1,1.1132157995245542,SI:DKEY-234I14.20,0.9706291333824181,PRDM14,1.2046364654142738,OTUD4,1.0014465982501077,MDM2,1.167666817483826,HIST2H3C,1.3632981501237076,GDF3,1.230448452437265,AFP4,1.071454182736712
2,BMP4,1.1272442667325115,AGRP2,2.3372914613065987,KRT18,1.3280410486461711,WNT11,1.9600137176047066,TDRD7A,1.1631682323082317,JAG1B,1.1067031425291711,SI:DKEY-48G21.5,0.926716572508548,ZIC3,1.1830349089789796,SI:CH211-113A14.16,0.9906581849455651,SI:CH211-260E23.9,1.0971061425385926,SI:CH211-113A14.10,1.2702992363591128,BZW1A,1.1639411105069561,SLC3A2B,1.0533208784954173
3,BMP7A,1.1172847028831632,MYO3A,2.305045500342057,CLDNE,1.32408547449955,CDX4,1.8320182564140777,DND1,1.050249680764061,HS3ST3B1B,1.0931525336105785,RNASEP_NUC,0.9103266331080758,SOX2,1.0208553897923625,SI:DKEYP-3B12.10,0.9505851537385196,APLNRB,1.0276847166476022,SI:DKEY-23A13.15,1.1545062353064632,NCALDA,1.1171289819275136,SPAW,0.9237227245201417
4,APOC1,1.099440910923829,RAPGEF6,2.297036770898214,KRT5,1.3210998530626348,ZNF703,1.7922784761414081,BTG4,1.0070432939981215,SYNGAP1A,1.0552218599128633,PGAM1A,0.8191282483947738,LFNG,1.0103016454624598,SI:DKEY-23A13.4,0.945033513795758,FOXO3B,1.0177556334443085,ZGC:153405,1.1543130468770522,P4HB,1.1052677384662828,CTSLL,0.8817665071638935
5,TFAP2C,1.049902933677999,SI:CH73-195I19.3,2.2429321648271436,EPS8L1,1.292146613395866,AXIN2,1.56322693644708,CA15B,0.9961650684538526,SI:DKEY-186O21.1,1.0266643659139976,PPIB,0.7957011233711848,FOXD3,0.9945477784510321,SI:DKEY-153M14.1,0.903829247330527,RBL2,0.9974311841579709,SI:DKEY-108K21.14,1.1469457826837453,FAM78BB,1.0644417192624205,HNF4A,0.8187205413840439
6,KIF20A,1.0106669907246946,ZGC:171775,2.059724140112533,EVPLA,1.279103513955742,TPBGA,1.4877659369327145,ACTL7A,0.9856955985350956,NRXN1B,1.0255564993875614,EIF5,0.7878378688601179,PRICKLE1A,0.9553912127915717,H2AFX,0.9002754694296975,CTSH,0.9852243116215617,SI:CH211-113A14.24,1.0991197655538523,MKRN4,1.05791689231464,ANXA1A,0.7890864998866437
7,FOXI1,1.0036069644096968,TOP1,2.010864789011684,KRT97,1.2698991590562774,SP5A,1.4796844970983671,SI:DKEY-11O15.10,0.9544768121766238,CAMSAP2A,0.9969898502202753,SI:CH1073-190K2.1,0.7790252044815976,CHD,0.9518577555786761,SI:CH1073-159D7.7,0.8933281120247726,SESN3,0.9212593086169436,ENSDART00000129497,1.0516001963427397,SI:CH211-190K17.31,1.054762257220817,SI:DKEY-238D18.15,0.752677216439349
8,CBFA2T2,0.9770321024980909,ANO9A,1.998526615548918,FA2H,1.2552578501641598,MSX1B,1.4471807723819108,SKA2,0.8943538958610308,BX546500.1,0.9933917672816799,EPCAM,0.7644225157080728,TIAM1B,0.9239864610778112,ZGC:158463,0.8919962217982765,BCL2L14,0.9012261863412475,ZGC:165555,1.0289106031006012,SI:DKEY-15H14.4,1.04721061925275,ABCA1B,0.7379586392421095
9,ARID1AB,0.9569227757921053,DIABLOA,1.9388554222719618,MID1IP1A,1.25169291026482,MIXL1,1.374223174608216,CLDNG,0.8373074831799041,HSD17B2,0.9875184412983016,CLDND,0.7598249406092671,SP5L,0.8873694060819669,KIAA0101,0.8913329939116577,TP53INP1,0.8948490263364098,SI:CH1073-159D7.7,1.015347106759506,SKP2,1.0373653825328872,FGF17,0.7311283076314141
10,BAMBIA,0.915385285078133,FNIP1,1.8368294803911713,ZNF185,1.241924645511978,GBX1,1.3184117839450633,BOKB,0.8321021082313204,FTR36,0.9824047924651617,SI:DKEYP-55H4.2,0.7597565512819547,SLC38A5B,0.8780688582870424,PRKRIP1,0.8798070886629393,CASP8,0.8591381612843695,SI:DKEY-261M9.15,0.9695477026707374,CR391944.1,1.0343829939780003,FBP1B,0.7243888773052478
11,PCM1,0.9147333010683082,NME2A,1.8229130399067952,LYE,1.2378072829619438,ZNF503,1.2510870576206548,FHDC3,0.8295780940540559,PLECA,0.9774925842109607,PRKRIP1,0.7595144643057028,PCDH18B,0.8724493068919718,SI:CH211-113A14.10,0.8696607966801418,SESN1,0.8175974193481668,SI:CH211-113A14.15,0.9619066096369834,BX640584.2,1.0120820304911795,NR0B2A,0.7051101557050584
12,KLF2B,0.9096550711836997,GPRC5BB,1.7563138636586575,MGLL,1.2325969349240775,ZIC2A,1.1407563661513835,BMI1B,0.8292518407654162,SI:CH211-171H4.5,0.9540452913012623,CPN1,0.7225767642969035,OTX1A,0.870549621709147,SI:DKEYP-3B12.7,0.8646597637637035,CDKN1A,0.7898933612862856,SI:DKEY-261M9.11,0.8988627618126301,RBM4.3,1.0059524970067493,CST3,0.6815039963874854
13,SFRP1A,0.9028980059235984,HNRNPA0B,1.6947886732473778,CLDN23,1.2249692457224302,IM:7138239,1.1343585987525764,ZGC:56231,0.8039122982251231,CPE,0.9458739219469398,SI:DKEY-13I19.8,0.722132758651648,PKDCCB,0.8550526767121882,HSP90AB1,0.863064823914961,ZGC:64022,0.7374627374866687,SI:DKEY-108K21.21,0.8670689137188118,SI:DKEY-30F3.2,1.002277440773665,CHD,0.6775669355080827
14,VED,0.899789479898202,ZGC:173587,1.6155217046571901,ZGC:101000,1.2243545077350813,DLD,1.117244607783754,DDX4,0.8007356786990363,GRB7,0.9275227550176512,ZGC:173742,0.719263531126451,FZD8A,0.8517337258898421,CLIP4,0.86273506918466,SLC4A2A,0.7237536888212643,GBGT1L4,0.8035020191386832,ZNF986,1.0020572927350444,SI:DKEY-85K7.7,0.6740871863933601
15,VENT,0.8957077767858048,PON1,1.454483258469882,KRT8,1.2177421533176924,APOC1,1.1097802887951125,SLC25A25A,0.7913947322935864,KCNK4,0.9222847363318262,GTF2H5,0.710084988979469,CDH2,0.8226111784756928,RPL39,0.8517588985120189,EXO5,0.722075152523081,HIST1H4D,0.7838054201114187,WEE2,0.9962881087096329,MTP,0.6388185807220488
