,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12
0,GATA2A,1.300072360306512,LYRM1,2.6615391662888426,KRT4,1.342188083303851,TA,2.3666956301444806,NANOS3,1.4346906633918044,SI:DKEY-28A3.2,1.3858425324313095,SI:CH211-242H13.4,1.3912831357602473,ADMP,1.2076080488307146,SI:DKEYP-3B12.6,1.0197439489320286,PHLDA3,1.3878451458953223,SI:DKEY-261M9.17,1.6214806629419716,RHEBL1,1.3045676713880183,SLC7A8A,1.0834183188427993
1,SZL,1.2232171954316398,CABZ01084942.1,2.3613641426091245,KRT92,1.3338298327272642,EVE1,2.108560907330314,HSP90AA1.2,1.1782520524743931,CNNM1,1.11321577491951,SI:DKEY-234I14.20,0.9706292165790552,PRDM14,1.2046366233856751,OTUD4,1.0014467996945073,MDM2,1.1676668555444991,HIST2H3C,1.3632980662893988,GDF3,1.2304485654121595,AFP4,1.0714540353399848
2,BMP4,1.1272443595658899,AGRP2,2.3372912466259255,KRT18,1.3280410910401503,WNT11,1.9600136933446601,TDRD7A,1.1631682476471117,JAG1B,1.1067031041774003,SI:DKEY-48G21.5,0.9267166483703797,ZIC3,1.1830349730957166,SI:CH211-113A14.16,0.990658360561219,SI:CH211-260E23.9,1.0971061544833267,SI:CH211-113A14.10,1.2702991067918037,BZW1A,1.163941239330407,SLC3A2B,1.0533207706434153
3,BMP7A,1.1172847995549215,MYO3A,2.3050452355296884,CLDNE,1.3240855130751856,CDX4,1.832018243656657,DND1,1.050249702435631,HS3ST3B1B,1.0931524921686815,RNASEP_NUC,0.9103266617830519,SOX2,1.0208554971431019,SI:DKEYP-3B12.10,0.9505853685855513,APLNRB,1.0276847366970931,SI:DKEY-23A13.15,1.1545062051638018,NCALDA,1.1171290160797034,SPAW,0.9237226614106958
4,APOC1,1.099440894996295,RAPGEF6,2.297036527174735,KRT5,1.3210998936129004,ZNF703,1.7922784573069717,BTG4,1.0070433072474843,SYNGAP1A,1.0552218433459717,PGAM1A,0.819128322299834,LFNG,1.0103017049337373,SI:DKEY-23A13.4,0.9450336664756106,FOXO3B,1.0177556645994106,ZGC:153405,1.1543128741292197,P4HB,1.1052678414851749,CTSLL,0.8817663841638591
5,TFAP2C,1.0499029903979753,SI:CH73-195I19.3,2.242931897447474,EPS8L1,1.2921466478820385,AXIN2,1.5632269053428436,CA15B,0.9961650711832604,SI:DKEY-186O21.1,1.0266643215829723,PPIB,0.795701124384116,FOXD3,0.9945476508677868,SI:DKEY-153M14.1,0.9038294273252249,RBL2,0.9974312198805324,SI:DKEY-108K21.14,1.1469455578129741,FAM78BB,1.064441789660157,HNF4A,0.8187205265319307
6,KIF20A,1.010667020112207,ZGC:171775,2.059723963428778,EVPLA,1.279103524664091,TPBGA,1.4877659339792553,ACTL7A,0.9856956390935795,NRXN1B,1.0255564312641567,EIF5,0.787837912650214,PRICKLE1A,0.9553911608462056,H2AFX,0.9002755920854862,CTSH,0.9852243384130278,SI:CH211-113A14.24,1.0991195818832156,MKRN4,1.0579169649134785,ANXA1A,0.7890864911530816
7,FOXI1,1.003606988718533,TOP1,2.0108645831288623,KRT97,1.2698991631287484,SP5A,1.4796844849144934,SI:DKEY-11O15.10,0.9544767582852929,CAMSAP2A,0.9969898494456427,SI:CH1073-190K2.1,0.7790253272845791,CHD,0.9518575915504649,SI:CH1073-159D7.7,0.8933283473181,SESN3,0.9212593281660281,ENSDART00000129497,1.051600298571979,SI:CH211-190K17.31,1.0547623243366984,SI:DKEY-238D18.15,0.7526770946828821
8,CBFA2T2,0.9770320734293583,ANO9A,1.9985264011471608,FA2H,1.255257872753505,MSX1B,1.4471807754247152,SKA2,0.894353885280255,BX546500.1,0.9933917193588371,EPCAM,0.7644225460214459,TIAM1B,0.9239864816050378,ZGC:158463,0.8919964332551661,BCL2L14,0.901226206546087,ZGC:165555,1.0289105013647493,SI:DKEY-15H14.4,1.047210690330702,ABCA1B,0.7379584115329333
9,ARID1AB,0.956922726260856,DIABLOA,1.9388552149047187,MID1IP1A,1.2516929582095428,MIXL1,1.374223160908668,CLDNG,0.8373074866609658,HSD17B2,0.9875183724610493,CLDND,0.7598249387111932,SP5L,0.8873693821160693,KIAA0101,0.8913331095739037,TP53INP1,0.8948490508833361,SI:CH1073-159D7.7,1.0153468478331447,SKP2,1.0373653953411297,FGF17,0.7311283524598383
10,BAMBIA,0.9153853230062671,FNIP1,1.836829275629932,ZNF185,1.2419246589248056,GBX1,1.318411777845603,BOKB,0.8321020914358674,FTR36,0.9824047777940279,SI:DKEYP-55H4.2,0.7597565853419074,SLC38A5B,0.8780689042720122,PRKRIP1,0.8798072017973069,CASP8,0.8591381900895577,SI:DKEY-261M9.15,0.9695475999471548,CR391944.1,1.0343829944445566,FBP1B,0.7243887816613066
11,PCM1,0.9147333189719765,NME2A,1.8229128519797537,LYE,1.2378073328215955,ZNF503,1.2510870489488621,FHDC3,0.8295780725247158,PLECA,0.9774925364668372,PRKRIP1,0.759514475474844,PCDH18B,0.8724494044201562,SI:CH211-113A14.10,0.8696610450998825,SESN1,0.8175974323858013,SI:CH211-113A14.15,0.9619064388144787,BX640584.2,1.0120820602116611,NR0B2A,0.7051099808181237
12,KLF2B,0.9096550807279351,GPRC5BB,1.7563136725606772,MGLL,1.232596975437269,ZIC2A,1.1407563789155195,BMI1B,0.8292518373672286,SI:CH211-171H4.5,0.954045266698871,CPN1,0.722576822444157,OTX1A,0.8705496928051321,SI:DKEYP-3B12.7,0.8646598763820533,CDKN1A,0.7898933672147423,SI:DKEY-261M9.11,0.8988626334869817,RBM4.3,1.0059525949558397,CST3,0.6815038368058385
13,SFRP1A,0.9028979444081034,HNRNPA0B,1.6947885081883955,CLDN23,1.224969300380029,IM:7138239,1.1343585892089567,ZGC:56231,0.80391226699234,CPE,0.9458738685749721,SI:DKEY-13I19.8,0.722132766646524,PKDCCB,0.8550527117786423,HSP90AB1,0.863064945906295,ZGC:64022,0.7374627529676424,SI:DKEY-108K21.21,0.8670686020362935,SI:DKEY-30F3.2,1.0022774681069329,CHD,0.677566854104592
14,VED,0.8997895358121499,ZGC:173587,1.6155215348823326,ZGC:101000,1.2243545590714788,DLD,1.1172445759322673,DDX4,0.800735696124797,GRB7,0.9275227455703506,ZGC:173742,0.719263574393064,FZD8A,0.8517337272238107,CLIP4,0.8627352059884126,SLC4A2A,0.7237537055135925,GBGT1L4,0.8035022766070785,ZNF986,1.0020573135678057,SI:DKEY-85K7.7,0.6740870699164032
15,VENT,0.8957078338247625,PON1,1.4544830516395506,KRT8,1.217742206958851,APOC1,1.1097802399589938,SLC25A25A,0.7913947367092392,KCNK4,0.9222847027133859,GTF2H5,0.7100850035288623,CDH2,0.8226111569813274,RPL39,0.8517589981193653,EXO5,0.7220751705701465,HIST1H4D,0.7838053064500976,WEE2,0.9962882006424316,MTP,0.6388184592290771
16,UBR5,0.8793766482082835,KLHL22,1.41283378453072,SI:CH211-125O16.4,1.216901178413914,NHSL1B,1.0981716318516985,RGS14A,0.7848716672581937,TNFAIP8L2A,0.9180540761494195,CDKN1BB,0.6967796776794245,SI:CH211-139K8.4,0.8097623958609383,PSMA4,0.8366613630437241,SNX11,0.6984268737946916,SI:DKEYP-14F10.3,0.7437515263661676,BIRC5B,0.9794413526699056,CABZ01117575.1,0.6237848818988515
17,ZNF995,0.8780503708037835,CABZ01001464.1,1.3781495926559602,CEBPB,1.195823047580959,SP5L,1.0582413361151062,MID1IP1L,0.7791135078811983,NFKBIL1,0.900348779645129,IFI30,0.6894253910057677,EFNB2A,0.8015211669315153,U1,0.8309467094309564,SI:DKEY-204L11.1,0.690593261905703,BX324216.1,0.7277081782558189,ADGRE10,0.9754122276578698,TSG101A,0.6192491658876106
18,LFNG,0.877110438062543,SI:CH211-241E1.5,1.35350733669229,FUT9B,1.1881042267061086,VED,1.0353585801718344,CHD6,0.7691183313007647,RHD,0.8687020267815457,EMC6,0.6870358316808559,SI:DKEY-188C14.4,0.7957804318982973,RPS17,0.8294204403806311,IGF2A,0.6741472209889773,SI:DKEY-146C18.5,0.7176620541788957,SI:DKEY-16M19.4,0.9721350706834145,MAL,0.6114033506010523
19,CLUHA,0.8742951894051002,NRXN1B,1.346119896732324,FTR83,1.1823746306564384,ATP1B3A,1.0102896615478922,OTX1B,0.7664021916716546,SCOCB,0.8671569063392544,FXYD6,0.6853847919241502,ZEB1A,0.7930499415995473,ZGC:113984,0.826395389296839,E2F7,0.6738992256970637,TRIM105,0.7144157681900891,PRMT1,0.9720200653669254,CABZ01002768.2,0.60328883810086
20,BMP2B,0.8592192044457415,SI:CH211-168H21.2,1.2923984062581768,SI:DKEYP-67A8.4,1.1691167759200574,HES6,0.9881661329248664,ZGC:158852,0.7551548476381134,CABZ01009880.1,0.8611956701961189,GSTO2,0.6799119824546361,KIF26AB,0.7889727870621563,RPL35,0.8201763110499092,SI:CH211-239D6.2,0.6708207319701031,SI:CH211-113A14.18,0.7139637288209457,RAC1A,0.9706732762007907,SOX32,0.5973448826142215
21,KAZALD2,0.8539513944938535,DDC,1.2882768306387653,ZGC:193505,1.156431540408064,HER1,0.9785868024253539,ANKRD12,0.7537820983033372,KCTD5,0.8587401887545364,DUT,0.678104566294726,CERS2B,0.788727189348199,UBA52,0.8193470226204654,BCL3,0.6593909469359812,SI:CH73-36P18.5,0.712568015477719,CR450785.2,0.9695851283614705,TELO2,0.5916433884857586
22,MAP3K1,0.8503736273303208,CYR61L2,1.2814420631114645,CYT1L,1.1517555514615003,PRICKLE1B,0.9757259119385696,SI:RP71-45K5.2,0.7531635598043577,SI:DKEY-58J15.10,0.8579590967122267,FTL,0.672601900727299,MCM6,0.786658419199069,RPL27,0.8190669693215352,PLEKHN1,0.6591621476810031,SI:CH211-113A14.26,0.6712649782151621,SI:DKEY-199M13.4,0.9694888949591539,LYE,0.5811678804797826
