,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13
0,SZL,1.263352319802698,LYRM1,2.6593150925752314,KRT4,1.3414830240130513,TA,2.3974353268718627,NANOS3,1.5841013894721017,SI:DKEY-28A3.2,1.3282236838654347,SI:CH211-242H13.4,1.4079607409641977,PRDM14,1.2564354449529787,SI:CH211-113A14.16,1.0146979674372663,PHLDA3,1.3958664787423118,SI:DKEY-261M9.17,1.6041041996928147,RHEBL1,1.279589480072262,HSP90AA1.2,1.7903694974461946,SLC7A8A,1.14225916895766
1,GATA2A,1.2527315746816567,CABZ01084942.1,2.3506582866333523,KRT18,1.3255687129476272,EVE1,2.1087184052772865,TDRD7A,1.4075645464508255,SYNGAP1A,1.104283966205504,SI:DKEY-234I14.20,0.9811811850162945,ADMP,1.205476046502906,SI:DKEYP-3B12.6,1.0063177394462803,MDM2,1.170056671926673,HIST2H3C,1.342763326843558,GDF3,1.1123063025675564,HSP70.3,1.1785066691275827,AFP4,1.1286192055074904
2,BMP4,1.1118071193200736,AGRP2,2.345532238990091,CLDNE,1.3167040937663639,WNT11,1.9753607141595808,DND1,1.3469501528171388,JAG1B,1.103125609356162,SI:DKEY-48G21.5,0.9344513385257581,ZIC3,1.162325568366476,OTUD4,0.9978365339504405,SI:CH211-260E23.9,1.099329912189715,SI:CH211-113A14.10,1.2722027835360108,NCALDA,1.0829552949434127,HSP70.1,0.8484128046135191,SLC3A2B,1.09513155966726
3,APOC1,1.088283083342759,MYO3A,2.3086670016640967,KRT5,1.316303542051507,CDX4,1.858112644994353,ACTL7A,1.3195041081859022,HS3ST3B1B,1.0724418907691533,RNASEP_NUC,0.9132414198988467,SOX2,1.0443305443828712,SI:DKEY-23A13.4,0.9645276781198043,APLNRB,1.035730967179452,ZGC:153405,1.1362821143736803,BZW1A,1.0612303359766662,CABZ01080568.1,0.8086622789164941,CTSLL,0.9423645863592974
4,BMP7A,1.0687462869215827,RAPGEF6,2.282782361461784,KRT92,1.3146991671372348,ZNF703,1.821475282812415,DDX4,1.1428016704564383,CNNM1,1.061908581421502,PGAM1A,0.8213870164589016,LFNG,1.0315018335867026,SI:DKEYP-3B12.10,0.9629201356954981,FOXO3B,1.02350066558879,SI:DKEY-23A13.15,1.1360244699939201,SI:DKEY-199M13.4,1.0209987379931194,HSP70.2,0.756335755662293,SPAW,0.8942015243018876
5,TFAP2C,1.0017240885775716,SI:CH73-195I19.3,2.224858128925229,EVPLA,1.2886360544785396,AXIN2,1.5888543598401268,CA15B,1.1153471299413265,BX546500.1,1.0229762191782372,PPIB,0.8027663567084329,PRICKLE1A,1.0098372437478487,SI:DKEY-153M14.1,0.9217550040231642,CTSH,1.0002296521880207,SI:CH211-113A14.24,1.081867309918524,P4HB,1.019906246353751,HSPA4A,0.6742870921623016,HNF4A,0.8442065482569395
6,KIF20A,0.9775904340273021,ZGC:171775,2.052760735805053,EPS8L1,1.2815386575617258,SP5A,1.5373324108834416,RGS14A,0.946626408102046,NRXN1B,1.00779946380549,EIF5,0.7943473782215051,FOXD3,0.9697253280576956,KIAA0101,0.9161597598699419,RBL2,0.9982000505743553,SI:DKEY-108K21.14,1.0758821714529951,SKP2,1.0132177148344033,ZNF1031,0.6348153041490914,ANXA1A,0.8140990186437084
7,FOXI1,0.9635518556889765,TOP1,2.0111083017976648,KRT97,1.2565216541061113,TPBGA,1.5133491406938915,BTG4,0.9325218324192251,SI:DKEY-186O21.1,1.0005441911518569,SI:CH1073-190K2.1,0.7923891666126632,TIAM1B,0.9557804112765192,SI:CH1073-159D7.7,0.9159769532397326,SESN3,0.9257514982096281,ENSDART00000129497,1.0547579795340793,CR391944.1,1.006640862715951,SI:DKEY-11O15.10,0.618861205630018,SI:DKEY-238D18.15,0.78210961572123
8,CBFA2T2,0.9539252895258289,ANO9A,1.963408192653143,ZNF185,1.249768034384693,MSX1B,1.450412755931682,GRA,0.8925708969453524,HSD17B2,0.9814250078004728,SI:DKEYP-55H4.2,0.7772930653213258,PCDH18B,0.9086251954732404,ZGC:158463,0.913973282005882,BCL2L14,0.9051359132692457,ZGC:165555,0.9970222719426247,SI:CH211-190K17.31,0.9890462125869325,SI:DKEY-146C18.5,0.6185415713741513,FBP1B,0.7544455271768242
9,ARID1AB,0.92289840735163,DIABLOA,1.934762515674274,MID1IP1A,1.2487778607671214,MIXL1,1.3942112654154137,SKA2,0.8190181989298935,PLECA,0.9806232330119506,EPCAM,0.7608317716728347,SI:CH211-139K8.4,0.9040833168206344,H2AFX,0.9072719494254156,TP53INP1,0.8850173859699096,SI:CH1073-159D7.7,0.9910962271168878,SI:DKEY-16M19.4,0.9872528052551374,TMEM205,0.6135732645504821,ABCA1B,0.7466055614008514
