,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13,Module 14,Weights 14
0,GATA2A,1.1767482630466923,LYRM1,2.590194549062655,KRT4,1.3689857524755995,TA,2.3851168384638366,NANOS3,1.5611538571543777,SI:CH211-242H13.4,1.3705392894022481,SI:DKEYP-3B12.7,0.8762985689376164,CHD,1.5437827960081556,SI:CH1073-80I24.3,0.820909834515188,SI:DKEY-28A3.2,1.1491335720315716,SI:DKEY-261M9.17,1.665134667746272,PHLDA3,1.3830642473626231,RHEBL1,1.0925394328206264,TELO2,0.7481072840945006,HSP90AA1.2,1.8092705106449345
1,BMP4,1.1269113453441573,MYO3A,2.324939524010097,KRT18,1.3564667103611345,EVE1,2.0937770510992,TDRD7A,1.3971867469334907,SI:DKEY-234I14.20,1.0101668784943527,KIAA0101,0.8630556873615165,ADMP,1.351694358768363,SI:DKEY-95P16.2,0.8165602439328452,BX546500.1,1.1095482268627237,HIST2H3C,1.4393392699656442,MDM2,1.1663460596076312,SI:DKEY-199M13.4,0.9754246681271397,AFP4,0.7330168801322945,HSP70.3,1.182140966220039
2,APOC1,1.1060462122684263,RAPGEF6,2.297594024245233,CLDNE,1.3418844227281452,WNT11,1.9326825087831374,DND1,1.3696280867282908,SI:DKEY-48G21.5,0.9658875550947738,PRKRIP1,0.8329518816310999,FOXD3,1.3363454531801733,SI:DKEY-16M19.4,0.7990164258783056,SYNGAP1A,1.1086306707869074,SI:CH211-113A14.10,1.3465067301356926,SI:CH211-260E23.9,1.0867435690869338,GDF3,0.9732976864884658,SLC3A2B,0.6809723244070673,HSP70.1,0.8619994586848699
3,SZL,1.103486474364892,CABZ01084942.1,2.229800441108992,KRT5,1.337159798045276,CDX4,1.824648438345278,ACTL7A,1.3220828866961214,RNASEP_NUC,0.8915478665165443,HSP90AB1,0.8124930410243045,ZIC3,1.1912922802102188,SI:CH211-195B11.4,0.7435725673787681,PLECA,1.075087340481004,ZGC:153405,1.1724817157825187,APLNRB,1.020612075678003,SI:DKEY-15H14.4,0.9618592688021758,SRRD,0.6646777496900745,CABZ01080568.1,0.7867642700647077
4,BMP7A,1.0308619168462272,AGRP2,2.2002393833470637,MID1IP1A,1.320351058424346,ZNF703,1.7889766927848074,DDX4,1.1464135646603582,SI:DKEYP-55H4.2,0.8356680023380164,OTUD4,0.8092765284003801,PRICKLE1A,0.9623781234545202,MAP2K6,0.7266604406040236,JAG1B,1.027576777133983,SI:DKEY-23A13.15,1.1443121688900981,FOXO3B,1.00977309894766,NCALDA,0.9554312563155134,SI:CH211-117I10.10,0.6589685475661692,HSP70.2,0.755184422575903
5,ARID1AB,0.9966368823911541,SI:CH73-195I19.3,2.1980900643522934,LYE,1.311393439667526,AXIN2,1.5177478014034733,CA15B,1.060583076694473,PGAM1A,0.8157762562471663,SI:DKEYP-3B12.6,0.7764874998957765,SESN3,0.9201718896954802,SI:CH211-222L21.1,0.713326172959852,CAMSAP2A,1.0199599004710964,SI:CH211-113A14.24,1.1259582416845046,CTSH,0.9957357871152838,BIRC5B,0.9385904485030779,FGF17,0.657417412942835,HSPA4A,0.6659721033934322
6,CLUHA,0.9918541092422647,ZGC:171775,2.029643810450031,KRT92,1.3002192429668014,SP5A,1.4791167462273733,RGS14A,0.9740851752335703,SI:CH1073-190K2.1,0.7999842011406454,SI:DKEY-261M9.15,0.7756526547510574,FZD8A,0.8860959849340484,ENSDART00000172356,0.7109213325385287,HS3ST3B1B,0.9871299687003401,SI:DKEY-108K21.14,1.1204336957484202,RBL2,0.9914781074095326,P4HB,0.9372104350129233,TSG101A,0.6536369358903431,SERPINH1B,0.6587683673841294
7,FOXI1,0.9858294368694097,TOP1,1.98609815952711,EPS8L1,1.2760153646663868,TPBGA,1.4665613173442502,GRA,0.92343923816246,SI:CH211-268B13.3,0.7624739325806381,RPS17,0.7701567562100157,ZEB1A,0.8724419047466997,POLR3GLA,0.7047192419676845,NRXN1B,0.9581857231099692,SI:CH1073-159D7.7,1.0660723424365548,SESN3,0.9069075200417346,SI:CH211-190K17.31,0.915071815704926,SLC7A8A,0.6532560795621013,ZNF1031,0.6493821771102172
8,CBFA2T2,0.957245668290111,DIABLOA,1.952656900692018,CLDN23,1.2687690094389825,MSX1B,1.4513671110708979,BTG4,0.8874926007552869,EIF5,0.7466689408333745,SI:CH211-113A14.10,0.7695932283651284,CST3,0.859559899275182,SI:ZFOS-44A5.1,0.7037211334373719,CNNM1,0.9520128400840495,SI:CH211-113A14.15,1.054892722088877,BCL2L14,0.8873735789664475,BZW1A,0.9119825278867404,RAB3IL1,0.6409551770240994,ADGRE10,0.6465825819558152
9,TFAP2C,0.9356844477461321,ANO9A,1.9505457103827724,ZGC:101000,1.267424000598661,MIXL1,1.367113248769863,SKA2,0.8124313999188868,CPN1,0.7332500401595744,SI:DKEY-261M9.17,0.7628128982113815,CDH2,0.825608676054773,SI:DKEYP-3B12.10,0.6873515746431487,HSD17B2,0.9339890350278888,ZGC:165555,1.0514746573179372,TP53INP1,0.8665538094911254,MKRN4,0.9027951366164007,FTH1B,0.6361602510815816,SI:DKEY-146C18.5,0.6426351188586791
