,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13
0,SZL,1.2633523002941347,LYRM1,2.6593150994483534,KRT4,1.341483015324568,TA,2.397435322660281,NANOS3,1.584101374099398,SI:DKEY-28A3.2,1.3282237006983668,SI:CH211-242H13.4,1.4079607349346657,PRDM14,1.2564354150829005,SI:CH211-113A14.16,1.0146979455441354,PHLDA3,1.39586647634163,SI:DKEY-261M9.17,1.604104251484748,RHEBL1,1.2795894739665912,HSP90AA1.2,1.7903694883673327,SLC7A8A,1.1422592094870774
1,GATA2A,1.2527315427413266,CABZ01084942.1,2.350658294660879,KRT18,1.3255687011715669,EVE1,2.108718409354528,TDRD7A,1.4075645428448833,SYNGAP1A,1.1042839632735868,SI:DKEY-234I14.20,0.9811811853981941,ADMP,1.205476080708958,SI:DKEYP-3B12.6,1.0063177174202993,MDM2,1.1700566650429187,HIST2H3C,1.342763374722482,GDF3,1.112306285612243,HSP70.3,1.1785066706714313,AFP4,1.1286192493276614
2,BMP4,1.1118070844665977,AGRP2,2.3455322519173545,CLDNE,1.3167040846967957,WNT11,1.9753607110035454,DND1,1.346950146189895,JAG1B,1.103125617106091,SI:DKEY-48G21.5,0.9344513369315302,ZIC3,1.1623255610060321,OTUD4,0.9978364990313017,SI:CH211-260E23.9,1.099329912148193,SI:CH211-113A14.10,1.2722028340904927,NCALDA,1.0829552977116077,HSP70.1,0.8484128060611549,SLC3A2B,1.0951315918107114
3,APOC1,1.088283077011654,MYO3A,2.3086670177694524,KRT5,1.3163035325435768,CDX4,1.8581126431319122,ACTL7A,1.3195041004848882,HS3ST3B1B,1.0724419058766932,RNASEP_NUC,0.9132414286652287,SOX2,1.0443305248581596,SI:DKEY-23A13.4,0.9645276543981949,APLNRB,1.0357309661246141,ZGC:153405,1.1362821918950574,BZW1A,1.0612303114783797,CABZ01080568.1,0.8086622825833741,CTSLL,0.942364620542403
4,BMP7A,1.0687462619780614,RAPGEF6,2.2827823826291445,KRT92,1.3146991562935997,ZNF703,1.8214752812551034,DDX4,1.1428016608723186,CNNM1,1.061908587327907,PGAM1A,0.8213869975291294,LFNG,1.0315018310871102,SI:DKEYP-3B12.10,0.9629201059205178,FOXO3B,1.0235006606768304,SI:DKEY-23A13.15,1.1360244980658474,SI:DKEY-199M13.4,1.020998759223057,HSP70.2,0.7563357579557538,SPAW,0.8942015387564175
5,TFAP2C,1.0017240698904903,SI:CH73-195I19.3,2.224858147680803,EVPLA,1.2886360509518708,AXIN2,1.5888543640786252,CA15B,1.1153471249160642,BX546500.1,1.0229762198209937,PPIB,0.8027663953696176,PRICKLE1A,1.0098372755402376,SI:DKEY-153M14.1,0.9217549756328306,CTSH,1.0002296489406322,SI:CH211-113A14.24,1.0818673840104842,P4HB,1.0199062308525035,HSPA4A,0.6742870861386691,HNF4A,0.844206558251802
6,KIF20A,0.9775904317731626,ZGC:171775,2.05276074321614,EPS8L1,1.2815386490793197,SP5A,1.5373324064450664,RGS14A,0.9466264024668275,NRXN1B,1.0077994781414832,EIF5,0.794347395615783,FOXD3,0.9697253835792806,KIAA0101,0.9161597426473025,RBL2,0.9982000439741843,SI:DKEY-108K21.14,1.0758822420410494,SKP2,1.0132177210722113,ZNF1031,0.6348153080699185,ANXA1A,0.8140990277113539
7,FOXI1,0.9635518487240933,TOP1,2.011108316628219,KRT97,1.2565216487932784,TPBGA,1.5133491349095332,BTG4,0.93252183512194,SI:DKEY-186O21.1,1.000544199558203,SI:CH1073-190K2.1,0.7923891551527587,TIAM1B,0.9557804208283908,SI:CH1073-159D7.7,0.9159769158211715,SESN3,0.9257514978369932,ENSDART00000129497,1.0547579772479054,CR391944.1,1.006640879382969,SI:DKEY-11O15.10,0.6188612032205283,SI:DKEY-238D18.15,0.782109646117438
8,CBFA2T2,0.9539252893438775,ANO9A,1.9634082054088835,ZNF185,1.2497680280519192,MSX1B,1.450412754147137,GRA,0.8925708902643568,HSD17B2,0.9814250179483366,SI:DKEYP-55H4.2,0.7772930602102603,PCDH18B,0.9086251691067933,ZGC:158463,0.9139732488935656,BCL2L14,0.9051359118073354,ZGC:165555,0.997022315861581,SI:CH211-190K17.31,0.9890462089559072,SI:DKEY-146C18.5,0.6185415795491433,FBP1B,0.7544455545402733
9,ARID1AB,0.9228984308698968,DIABLOA,1.934762530179789,MID1IP1A,1.2487778495818824,MIXL1,1.3942112627760248,SKA2,0.8190182085510719,PLECA,0.980623234343949,EPCAM,0.7608317889833819,SI:CH211-139K8.4,0.9040833474246879,H2AFX,0.9072719388106788,TP53INP1,0.8850173809035763,SI:CH1073-159D7.7,0.9910963051735503,SI:DKEY-16M19.4,0.9872527980344279,TMEM205,0.6135732625536441,ABCA1B,0.7466056181193513
