,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7
0,GDF3,1.0552155096619427,LYRM1,2.564337217849188,KRT4,1.4617898057056984,TA,2.3256159877217826,TDRD7A,1.2632375121710204,SI:DKEY-28A3.2,1.195470948629366,OTUD4,1.2317625890374624,SOX2,1.1035650719906485
1,SI:DKEY-15H14.4,1.039355825076206,AGRP2,2.213729189885828,KRT18,1.4363704584952153,EVE1,2.0540496661163075,NANOS3,1.2339208433308548,JAG1B,1.0993635747084183,SI:CH211-242H13.4,1.1405754714461613,PRDM14,1.0366643449707604
2,RHEBL1,1.0117383886065094,RAPGEF6,2.1656393080619845,KRT92,1.4307014901322672,WNT11,1.926079818481619,ACTL7A,1.1182552352776658,HS3ST3B1B,1.0942556519888218,PRKRIP1,1.1247802729881458,ZIC3,0.9374772577144579
3,SI:CH211-190K17.31,1.001219199355426,CABZ01084942.1,2.1402849923000042,LYE,1.3986006312508215,CDX4,1.8078375393383204,BTG4,1.0926538269921502,FTR36,1.0856209627071267,SI:DKEY-153M14.1,1.0588588951588842,PCDH18B,0.8560336845043469
4,MKRN4,0.9912496095715524,MYO3A,2.116257859379586,KRT5,1.3852800886746588,ZNF703,1.73261203147527,CA15B,1.0830871172962269,KCNK4,1.0500628336184585,SI:DKEY-108K21.12,1.0412280862317131,MCM6,0.8225097480911978
5,BZW1A,0.9836752136535049,SI:CH73-195I19.3,2.0830931421628645,MID1IP1A,1.3805807800420518,TPBGA,1.5232891448698458,DND1,0.9880063536572867,CNNM1,1.015435404865712,HSP90AB1,1.0409761052405573,SLC38A5B,0.821472912536164
6,NCALDA,0.9604973684742515,ANO9A,2.049951954527132,ZGC:101000,1.373781774383769,SP5A,1.5062895384124282,MID1IP1L,0.9562354026507672,SI:DKEY-186O21.1,1.0093751092769674,SI:CH211-117M22.2,1.0375275846582745,ADMP,0.8136771916006846
7,P4HB,0.9562184444439755,ZGC:171775,1.9034957323233412,CLDNE,1.37134981082458,AXIN2,1.49460568391098,CLDNG,0.9344404088549882,TNFAIP8L2A,1.0032196067615833,PPIB,1.0359512211537243,SP5L,0.7700692812943636
8,ZNF1060,0.9485321253644255,TOP1,1.843030566597976,KRT97,1.3692263850864843,MSX1B,1.4617650116767205,SLC25A25A,0.9127164489831288,GRB7,0.9973138315259948,SI:DKEY-23A13.4,1.0343117489231513,FP236812.1,0.761850153162528
9,BX640584.2,0.939065386318278,DIABLOA,1.8176768167408657,SI:CH211-125O16.4,1.363291513388035,MIXL1,1.3370160064816616,BMI1B,0.9082391340705512,NRXN1B,0.9971608706533638,SI:DKEY-23A13.15,0.9960557525588287,SEPT12,0.756949368300364
10,ZNF1040,0.9220457468487316,FNIP1,1.7856380992157965,CEBPB,1.3440464556996101,GBX1,1.2842310926014309,HSP90AA1.2,0.9055585571024837,CPE,0.9696515311538869,GTF2H5,0.9931065293712145,SLC38A3B,0.7547565379631769
11,CR450785.2,0.9137282146403288,HNRNPA0B,1.7797555601688415,KRT8,1.3382260255513057,ZNF503,1.2332356413450127,SI:DKEY-11O15.10,0.9034180306972823,SYNGAP1A,0.9606952845380158,ZGC:158463,0.9907203870658652,CABZ01070258.1,0.7425308551967759
12,BX005448.2,0.9128431782257804,ZGC:173587,1.7752671433715492,EPS8L1,1.3225139333445193,IM:7138239,1.169526808954642,ZGC:158852,0.9016478241258012,RHD,0.9580917633992465,EIF5,0.9820010011196281,LFNG,0.7355196126382713
