,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6
0,GDF3,1.1083097563731397,LYRM1,2.534581104439236,KRT4,1.4640187142994237,TA,2.344142235592665,TDRD7A,1.2184155380415966,SI:DKEY-28A3.2,1.172837828112566,OTUD4,1.1788232419108855
1,RHEBL1,1.0827611918614624,AGRP2,2.19546116962381,KRT18,1.4323354459803868,EVE1,2.090345068038973,NANOS3,1.1747335110230228,JAG1B,1.0918686142651608,SI:CH211-242H13.4,1.162508086803488
2,CR391944.1,1.0389028645152707,RAPGEF6,2.1426628978086097,LYE,1.4205184186767201,WNT11,1.9346118238196657,BTG4,1.1463005945725782,FTR36,1.0854213499040906,PRKRIP1,1.0852141217678097
3,ALDOB,1.0388393046029254,CABZ01084942.1,2.1127208230143144,KRT92,1.4143523637751823,CDX4,1.8135927436734542,HSP90AA1.2,1.1054431672618736,HS3ST3B1B,1.0842792210522163,SI:DKEY-153M14.1,1.0176293094150741
4,NCALDA,1.0283081394683082,MYO3A,2.1001738103020364,MID1IP1A,1.3944582307034372,ZNF703,1.7463405692079919,ACTL7A,1.067846416085851,KCNK4,1.0687048591772135,HSP90AB1,1.0099736849430974
5,SI:CH211-195B11.4,1.0088554987697183,ANO9A,2.0848993923546137,KRT5,1.3915701816616879,TPBGA,1.5207886297053903,CA15B,1.0467359020555482,TNFAIP8L2A,1.017335949179576,SI:DKEY-23A13.4,1.0033002839545688
6,RGS3B,1.0066974958909563,SI:CH73-195I19.3,2.0636679702848926,KRT97,1.3810248327555845,SP5A,1.5182006318639056,CLDNG,1.0441569133391744,SI:DKEY-186O21.1,1.0022439464381656,SI:DKEY-108K21.12,0.99991077291304
7,CR450785.2,0.9914443262400726,ZGC:171775,1.888652399623207,CLDNE,1.3762439618454654,AXIN2,1.5034799788477917,MID1IP1L,1.0377077865153355,CNNM1,0.9956940933594483,SI:CH211-117M22.2,0.9933506660526042
8,BZW1A,0.9890901368133221,TOP1,1.8235326551094801,ZGC:101000,1.3676050242532383,MSX1B,1.4737279061438295,SI:DKEY-163F14.5,0.9696689479808214,GRB7,0.984862416641342,PPIB,0.9763898856709734
9,RAC1A,0.9887177234096456,ZGC:173587,1.8180802714257662,SI:CH211-125O16.4,1.3627685964094427,MIXL1,1.3343719953934405,ZGC:158852,0.9664458323195371,NRXN1B,0.9795310107488867,SI:DKEY-23A13.15,0.968937101977741
10,BX640584.2,0.988594636903751,HNRNPA0B,1.8046524272901554,KRT8,1.3450573945376387,GBX1,1.2979155871323074,SI:RP71-45K5.2,0.9646317680442084,RHD,0.9611411025623527,ZGC:158463,0.950097978459026
11,SI:DKEY-199M13.4,0.9872418679543785,DIABLOA,1.802738287883174,CEBPB,1.3414177817354398,ZNF503,1.2431017687121722,DND1,0.9182006610289296,SI:CH211-171H4.5,0.9527552071291403,STM,0.9493342955357148
12,BX901907.2,0.9794188529938807,FNIP1,1.7765385606153827,EPS8L1,1.3268425393626977,IM:7138239,1.188463798359098,FHDC3,0.9062227227647749,CPE,0.9508575868311743,GTF2H5,0.9449233206694254
13,SI:DKEY-156K2.3,0.9781657842383615,NME2A,1.6032623172601574,ZNF185,1.3035984002993544,DLD,1.1318555582387824,RPAIN,0.8952440753632805,LAMC1,0.9325670971716147,DUT,0.9444185454336241
14,SEPT12,0.9770473920412379,GPRC5BB,1.5946616473112838,CLDN23,1.28826607814406,ZIC2A,1.107067577727543,DDX4,0.8927210201025872,SI:CH211-178N15.1,0.9237082322782,KIAA0101,0.942485066049476
15,PRMT1,0.9766801649304498,HUWE1,1.5155530660713865,ZGC:193505,1.2753860635685423,NHSL1B,1.092191649892013,SLC25A25A,0.8881455706937949,PARP6A,0.9064434137964217,SI:CH211-113A14.16,0.9340401790507328
16,SI:DKEY-95P16.2,0.974293965924502,KLHL22,1.379960722617338,FTR83,1.257152151170842,ATP1B3A,1.0742467400928601,SI:DKEY-261J4.3,0.8745098438769963,HSD17B2,0.9060413532148536,SI:CH211-194E1.8,0.9247976431688715
17,SI:CH211-190K17.31,0.9738794607685322,NRXN1B,1.3715968170343755,KLF17,1.2550813804087546,APOC1,1.0399234995872904,SI:DKEY-11O15.10,0.8737237099573227,NCOA7,0.905810877220003,FTL,0.9225970116505385
18,SI:DKEY-15H14.4,0.9602582576792063,CPE,1.3402107290446539,EVPLA,1.24057421842578,PRICKLE1B,1.0251494666189322,SKA2,0.8683062979209146,RYR1A,0.9053999730812105,EIF5,0.9146751070989377
19,SKP2,0.9537987391025934,PON1,1.328961077093952,FA2H,1.2363390532496987,HES6,1.0215126509132941,BMI1B,0.8589998512745513,SI:DKEY-58J15.10,0.902166841890407,RPL12,0.913056050433414
20,ZIC2B,0.9477029822171046,CABZ01001464.1,1.2926585143308893,CLDNB,1.2189402999935868,VED,1.0195168110466069,NEK2,0.837802698888627,SYNGAP1A,0.9010413833525818,U1,0.9125840343992396
21,SLC38A3B,0.9446720098831153,CYR61L2,1.255648554998814,MGLL,1.2152765292856498,HER1,1.0012275093541099,ZGC:56231,0.8335683258732819,PDLIM5A,0.8881532175585937,SI:DKEYP-3B12.10,0.9103153049886429
22,SI:CH1073-80I24.3,0.9435914995734753,ZNF1057,1.2275092520296338,FTR82,1.212500826369575,MSX3,0.9799947135052453,MAP7,0.8333067034324887,RNF213,0.8774048876508327,SI:DKEY-234I14.20,0.9088364022398059
23,SSBP3B,0.9411127704151051,SI:CH73-46J18.5,1.222959323655414,SI:DKEYP-67A8.4,1.208811350936174,SZL,0.9641138868469038,MAP1LC3C,0.8278044527829294,CR361561.2,0.873420967654463,CLIP4,0.9066591503181726
24,BX324155.1,0.9385963832885013,SETD2,1.211797667328285,FUT9B,1.2081283216239995,SP5L,0.9604370322560519,ZGC:77112,0.8232487866952581,CSF1RB,0.864984610946134,CDKN1BB,0.896705485089154
25,SI:DKEY-30F3.2,0.935800362944948,MLXIP,1.2027960353402805,GRHL3,1.1992375832388773,LEF1,0.9587179727105827,PGK1,0.8192016642470303,ZNF644B,0.8600518937207392,SI:CH1073-159D7.7,0.896490970304225
