,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5
0,OTUD4,1.251368803337461,LYRM1,2.5470623325188857,KRT4,1.5086733405681918,TA,2.35676797911786,SI:RP71-45K5.2,1.1479784545057659,SI:DKEY-28A3.2,1.11710174341732
1,SI:CH73-1A9.3,1.2401982387617212,AGRP2,2.2056994429346326,KRT5,1.430068377000475,EVE1,2.100774956992198,BTG4,1.117322253615846,KCNK4,1.0431699305564772
2,PPIB,1.214479235466508,RAPGEF6,2.148262219514044,KRT92,1.428198496283018,WNT11,1.9505570000200985,DDIT4,1.0668379297477444,FTR36,1.0424549535405925
3,SI:CH211-222L21.1,1.2108250993774434,CABZ01084942.1,2.1248754714033256,KRT18,1.426741459543428,CDX4,1.8363299524652816,SI:DKEY-11O15.10,1.0209633219851157,HS3ST3B1B,1.0327591425942266
4,KIAA0101,1.2050590239993557,MYO3A,2.091176884383298,LYE,1.4158095631799998,ZNF703,1.7547715292085093,RPAIN,0.9911780091485953,JAG1B,1.0301273609187518
5,SI:DKEY-16M19.4,1.2000935296281692,ANO9A,2.0889593095763623,KRT97,1.4061331846325476,AXIN2,1.5233163820012137,HSP90AA1.2,0.9822634185291137,NRXN1B,1.002872167252254
6,SI:DKEY-23A13.4,1.1869816490425051,SI:CH73-195I19.3,2.0473243973973636,CLDNE,1.3925491265731114,SP5A,1.5186854080635557,TDRD7A,0.9815686346345422,SI:CH211-171H4.5,0.9730257018248412
7,SI:DKEY-95P16.2,1.1839551042886416,ZGC:171775,1.909368244779638,MID1IP1A,1.3823520637693527,TPBGA,1.5123391818512042,CLDNG,0.9617671397366317,SI:DKEY-186O21.1,0.971111475946071
8,SI:CH211-113A14.16,1.1799907155079938,TOP1,1.8496176344442041,KRT8,1.3609615250991307,MSX1B,1.4780384275663532,ZGC:56231,0.9512705679992072,RHD,0.9528583357307301
9,FTL,1.178019913647169,ZGC:173587,1.821962145588085,SI:CH211-125O16.4,1.3498611934832367,MIXL1,1.3401804710460656,ZGC:77112,0.9509682331192029,TNFAIP8L2A,0.9520347892546488
10,RPL6,1.1668086896556296,DIABLOA,1.8086277646110132,ZGC:101000,1.3472127217048737,GBX1,1.3074225600999068,SLC25A25A,0.950346386206437,RYR1A,0.9444530057441661
11,ZGC:158463,1.1601579547521925,FNIP1,1.7894760834995156,ZNF185,1.3348852030622218,ZNF503,1.249763628602189,SI:DKEY-163F14.5,0.9430182815490346,GRB7,0.9432588591809585
12,TSR2,1.1598948990033573,HNRNPA0B,1.7816795207513776,CEBPB,1.3283952919629816,IM:7138239,1.1919143390942943,SI:DKEY-1D7.3,0.929976923243988,CPE,0.924020619665072
13,GTF2H5,1.1591920553521151,NME2A,1.6101503425036157,EPS8L1,1.3229110871465357,DLD,1.176716388031555,LSM14B,0.8938799786942303,CNNM1,0.9218811253411467
14,DUT,1.158541141905687,GPRC5BB,1.587660859201736,CLDN23,1.2967427583651825,ATP1B3A,1.1324411932722451,MID1IP1L,0.8766615330828501,SI:DKEY-48G21.5,0.9063400026275996
15,ALDOB,1.1560222743952366,HUWE1,1.5174475483769425,FTR83,1.2685477348833292,ZIC2A,1.1117427812139569,NANOS3,0.8718875465352677,SI:CH211-178N15.1,0.8966610623842134
16,SI:CH211-195B11.4,1.1481610367366561,KLHL22,1.3869715199184645,FA2H,1.2554224497628053,NHSL1B,1.0955764820515326,CIARTA,0.8680175218417647,LAMC1,0.8904606862353329
17,RPS17,1.1439312800526056,NRXN1B,1.374823054776003,EVPLA,1.2543606755932495,PRICKLE1B,1.0494550499648931,CTH1,0.8650439271758422,NCOA7,0.8846328932008545
18,HMGB2A,1.129409337828517,PON1,1.3659400398702877,ZGC:193505,1.2500191331197712,APOC1,1.0341564374887167,BCL2L10,0.8641115018488355,ZNF644B,0.8708644831936584
19,SI:DKEY-153M14.1,1.127263778760891,CPE,1.326028423523303,KLF17,1.2476738431917431,VED,1.0191034398951093,PGK1,0.8624349233828809,HSD17B2,0.8671578188367474
20,RPL21,1.1246357082783802,CABZ01001464.1,1.2851520918481782,MGLL,1.2466283954373116,HES6,1.0130519588002578,NEK2,0.8491244462599022,PDLIM5A,0.8615545744840305
21,MAGOH,1.1221390650665324,CYR61L2,1.260154726938609,FTR82,1.219889728957412,MSX3,1.006032304214227,LPCAT4,0.8481680535718833,SI:DKEY-58J15.10,0.8607174371876906
22,HSPB1,1.1175744867554505,SETD2,1.239357638076584,CLDNB,1.2158650454503228,HER1,1.002201997887977,CA15B,0.8422627633927342,PARP6A,0.8583812669187726
23,RPL12,1.1173371608995406,SI:CH73-46J18.5,1.2254936917448693,SI:DKEYP-67A8.4,1.2062343577952692,SZL,0.9920743940339867,FHDC3,0.8395577947206112,KLHL22,0.8546438246149871
24,RPL28,1.110981142111872,MLXIP,1.2215325818302494,CYT1L,1.199282308416423,ARL4AB,0.9747218498751975,SI:DKEYP-114G9.1,0.8394014604969328,HIST2H3C,0.8491048763249311
25,RPL23A,1.1092822402911084,ZNF1057,1.2075298737613194,GRHL3,1.1948604773974287,LEF1,0.963676476650703,ACTL7A,0.8256441656170512,SYNGAP1A,0.8456236859239767
26,CDKN1BB,1.1063154204117152,SI:CH211-241E1.5,1.2072113065957617,FUT9B,1.19413385603748,SP5L,0.9437065430303457,RAD18,0.8223448200720007,RNF213,0.8391085206820017
27,UCP2,1.1011634669429158,CHD7,1.204075278364514,ZGC:153911,1.1739426147105976,WNT8A,0.9216238186397956,BX511215.1,0.8092515680974343,SI:DKEYP-115E12.6,0.8343006356212965
28,ELAVL1,1.1009830812933163,POLR2A,1.1993023405881393,HSD17B14,1.1653919833227377,VENT,0.9151836725523753,PATL2,0.8091926782920589,SI:DKEY-261M9.11,0.8329697695896877
29,SI:CH211-130H14.6,1.100370004133911,PCNT,1.1829124853029136,PERP,1.1632760875940675,SI:DKEY-27I16.2,0.8924460502939461,BMI1B,0.7881390775801359,SI:DKEY-13M3.1,0.8209548732115363
