,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12
0,GATA2A,1.1458204170547877,LYRM1,2.5592229707435066,KRT4,1.412886828244011,TA,2.332785452777564,NANOS3,1.4149622341778336,SI:CH211-242H13.4,1.358701483473323,SI:DKEYP-3B12.7,0.9721885357315961,CHD,1.7623231929581993,SI:CH1073-80I24.3,0.9627169854066517,SI:DKEY-28A3.2,1.2107133376469732,SI:DKEY-261M9.17,1.5910976601158393,PHLDA3,1.375979038316827,GDF3,0.9699251033372716
1,BMP4,1.1085375071155648,MYO3A,2.322294453773962,KRT18,1.3768284441776657,EVE1,2.085540918810113,TDRD7A,1.272370337940919,SI:DKEY-234I14.20,0.987079431938101,SI:DKEYP-3B12.6,0.9260571982163728,ADMP,1.3616533883721258,SI:DKEY-95P16.2,0.8458056511930923,BX546500.1,1.0807022829447286,HIST2H3C,1.45688390628534,MDM2,1.154521175805114,SI:DKEY-15H14.4,0.9695594546835561
2,SZL,1.0342930790019718,RAPGEF6,2.2671735594741356,CLDNE,1.3562078969170157,WNT11,1.9221753552977061,HSP90AA1.2,1.1248769848946178,SI:DKEY-48G21.5,0.932013907797322,OTUD4,0.8922992904213765,FOXD3,1.357125184952837,SI:DKEY-16M19.4,0.8172730715867674,PLECA,1.0727082341958627,SI:CH211-113A14.10,1.3204845782144017,SI:CH211-260E23.9,1.0724927014246046,BX324155.1,0.9636660136338467
3,APOC1,1.0063997707569639,CABZ01084942.1,2.2382368015486764,KRT5,1.3533490493107077,CDX4,1.7918544565950971,DND1,1.0972517906502228,RNASEP_NUC,0.9067656546759163,KIAA0101,0.8676010859148809,ZIC3,1.1262010123215151,SI:CH211-139K8.4,0.8127075871235971,SYNGAP1A,1.0673376618192192,SI:DKEY-23A13.15,1.1925069701378639,APLNRB,1.0094260225802214,SI:DKEYP-114G9.1,0.951517609984831
4,FOXI1,0.9841069873226378,AGRP2,2.2024371166690293,MID1IP1A,1.343600172149777,ZNF703,1.7478974686224507,ACTL7A,1.0219330011690404,SI:DKEYP-55H4.2,0.8729603809166031,SI:CH211-113A14.10,0.8673556290877539,PRICKLE1A,0.9398595488799534,MAP2K6,0.7942552524861584,JAG1B,1.0558361992071799,ZGC:153405,1.1808995554345139,FOXO3B,0.9989370775967953,BIRC5B,0.938695710245447
5,BMP7A,0.9628251908045181,SI:CH73-195I19.3,2.1940430067822354,KRT92,1.3390017672646186,AXIN2,1.4908123756493807,CA15B,0.995399439476175,PGAM1A,0.8522262305097695,HSP90AB1,0.8011884527534263,FZD8A,0.9041597187679676,SI:CH211-222L21.1,0.7900739158370104,CAMSAP2A,1.0526168237206186,SI:DKEY-108K21.14,1.1704328697139563,CTSH,0.9882024259946609,BX005448.2,0.9374480013474137
6,PCM1,0.9583824342259161,ZGC:171775,2.003823636055208,LYE,1.3319132305226786,MSX1B,1.457341829455117,BTG4,0.9512273414619912,PPIB,0.8414674368417213,SI:DKEY-261M9.17,0.783931735790926,FOXB1A,0.8990687395173447,POLR3GLA,0.7826686334743491,CNNM1,1.0275640086502784,SI:CH1073-159D7.7,1.1604222529363952,RBL2,0.9823744238366764,MKRN4,0.9201831100557183
7,ARID1AB,0.953764282716357,ANO9A,2.003580034050155,KRT97,1.3143310517416995,TPBGA,1.4518104428689709,SI:DKEY-11O15.10,0.9076491819120115,EIF5,0.765462534036614,SI:DKEY-261M9.15,0.7807321291167555,GSC,0.8788840670731607,SOX2,0.7789856704022916,HS3ST3B1B,1.0100676642920339,SI:CH211-113A14.15,1.1523212318269682,SESN3,0.88846529604242,SI:CH211-190K17.31,0.9163393719981402
8,CBFA2T2,0.9500749776651071,TOP1,1.973492785550889,ZGC:101000,1.306167339887634,SP5A,1.4421055948662393,SKA2,0.863777289922323,SI:CH1073-190K2.1,0.7521460806699256,CLIP4,0.7801553772790365,ZEB1A,0.8661811450259396,PRDM14,0.764335291155691,SLC7A8A,0.9782792968928745,SI:CH211-113A14.24,1.1484592974822505,BCL2L14,0.8868318426087294,SI:DKEY-1D7.3,0.911577170176866
9,CLUHA,0.9122622792069724,DIABLOA,1.9167816787405543,EPS8L1,1.296529074474522,MIXL1,1.3394848866526405,BOKB,0.8599410790867067,CDKN1BB,0.7410497203116958,SI:CH211-113A14.16,0.7713773980823065,FOXD5,0.8453891655583703,SI:DKEY-188C14.4,0.7601938298415091,SI:DKEY-186O21.1,0.9441565240516444,ZGC:165555,1.0850927860509008,TP53INP1,0.8664697873978567,P4HB,0.909681764207492
