,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5,Module 6,Weights 6,Module 7,Weights 7,Module 8,Weights 8,Module 9,Weights 9,Module 10,Weights 10,Module 11,Weights 11,Module 12,Weights 12,Module 13,Weights 13
0,SZL,1.2633523053976343,LYRM1,2.65931509273411,KRT4,1.3414830176498536,TA,2.3974353195135465,NANOS3,1.584101378721574,SI:DKEY-28A3.2,1.3282236866461357,SI:CH211-242H13.4,1.407960733151401,PRDM14,1.2564354287080253,SI:CH211-113A14.16,1.0146979609661273,PHLDA3,1.3958664771737963,SI:DKEY-261M9.17,1.604104224784897,RHEBL1,1.279589485302478,HSP90AA1.2,1.7903695045323118,SLC7A8A,1.142259187369419
1,GATA2A,1.2527315601777402,CABZ01084942.1,2.3506582875494173,KRT18,1.3255687055254919,EVE1,2.108718402211843,TDRD7A,1.4075645425293144,SYNGAP1A,1.1042839621673242,SI:DKEY-234I14.20,0.9811811848351605,ADMP,1.2054760617045872,SI:DKEYP-3B12.6,1.0063177357646746,MDM2,1.1700566684394058,HIST2H3C,1.3427633465400417,GDF3,1.1123063030806335,HSP70.3,1.178506678626258,AFP4,1.1286192232221455
2,BMP4,1.1118071057571541,AGRP2,2.3455322419437974,CLDNE,1.316704087876341,WNT11,1.9753607075727022,DND1,1.3469501458843556,JAG1B,1.1031256084246677,SI:DKEY-48G21.5,0.9344513347630002,ZIC3,1.1623255732588567,OTUD4,0.9978365230561141,SI:CH211-260E23.9,1.09932991096206,SI:CH211-113A14.10,1.2722028041640936,NCALDA,1.0829553025432497,HSP70.1,0.8484128118092891,SLC3A2B,1.0951315734853497
3,APOC1,1.088283073046755,MYO3A,2.3086670041823196,KRT5,1.3163035360159114,CDX4,1.858112639898484,ACTL7A,1.3195041017673155,HS3ST3B1B,1.0724418954689368,RNASEP_NUC,0.9132414186858089,SOX2,1.0443305344019267,SI:DKEY-23A13.4,0.9645276693081483,APLNRB,1.035730965941686,ZGC:153405,1.1362821428437437,BZW1A,1.061230332550082,CABZ01080568.1,0.808662284823805,CTSLL,0.9423646006555226
4,BMP7A,1.0687462780866406,RAPGEF6,2.2827823662145597,KRT92,1.3146991595840094,ZNF703,1.8214752775645664,DDX4,1.1428016634381266,CNNM1,1.0619085825017767,PGAM1A,0.821387006757925,LFNG,1.0315018355554526,SI:DKEYP-3B12.10,0.9629201298094925,FOXO3B,1.023500663327294,SI:DKEY-23A13.15,1.1360244819620215,SI:DKEY-199M13.4,1.0209987544455827,HSP70.2,0.7563357620216677,SPAW,0.8942015319842088
5,TFAP2C,1.0017240772526532,SI:CH73-195I19.3,2.224858133926225,EVPLA,1.2886360515876156,AXIN2,1.5888543578747445,CA15B,1.1153471244858408,BX546500.1,1.0229762150420636,PPIB,0.8027663730264168,PRICKLE1A,1.0098372523221102,SI:DKEY-153M14.1,0.9217549948580456,CTSH,1.0002296506180248,SI:CH211-113A14.24,1.0818673383248096,P4HB,1.0199062467740279,HSPA4A,0.6742870890918023,HNF4A,0.8442065537992849
6,KIF20A,0.9775904386963766,ZGC:171775,2.052760737368863,EPS8L1,1.2815386520622014,SP5A,1.5373324051769761,RGS14A,0.9466264045679667,NRXN1B,1.007799466623355,EIF5,0.7943473854644547,FOXD3,0.9697253515606712,KIAA0101,0.9161597525364793,RBL2,0.9982000473205996,SI:DKEY-108K21.14,1.0758821909236507,SKP2,1.0132177221476415,ZNF1031,0.6348153039221596,ANXA1A,0.8140990235748267
7,FOXI1,0.9635518472758802,TOP1,2.0111083053926615,KRT97,1.2565216482314836,TPBGA,1.5133491342799927,BTG4,0.9325218341751951,SI:DKEY-186O21.1,1.0005441931999262,SI:CH1073-190K2.1,0.7923891627589534,TIAM1B,0.9557804118942463,SI:CH1073-159D7.7,0.9159769427898405,SESN3,0.9257514979819393,ENSDART00000129497,1.0547579821470534,CR391944.1,1.0066408766188317,SI:DKEY-11O15.10,0.6188612004367924,SI:DKEY-238D18.15,0.7821096284393524
8,CBFA2T2,0.953925277469236,ANO9A,1.9634081922399482,ZNF185,1.249768029299435,MSX1B,1.4504127517706218,GRA,0.8925708909021214,HSD17B2,0.9814250088787245,SI:DKEYP-55H4.2,0.7772930585377543,PCDH18B,0.908625182544988,ZGC:158463,0.9139732730777156,BCL2L14,0.9051359120623627,ZGC:165555,0.9970222882913841,SI:CH211-190K17.31,0.9890462172113446,SI:DKEY-146C18.5,0.6185415738754416,FBP1B,0.754445537495329
9,ARID1AB,0.9228984124699063,DIABLOA,1.9347625211289268,MID1IP1A,1.2487778542793537,MIXL1,1.3942112606072545,SKA2,0.8190182015941534,PLECA,0.9806232282946592,EPCAM,0.7608317774408503,SI:CH211-139K8.4,0.904083319387591,H2AFX,0.9072719468799677,TP53INP1,0.8850173840332713,SI:CH1073-159D7.7,0.9910962510704494,SI:DKEY-16M19.4,0.9872528101938148,TMEM205,0.6135732642528002,ABCA1B,0.746605582045058
