,Module 0,Weights 0,Module 1,Weights 1,Module 2,Weights 2,Module 3,Weights 3,Module 4,Weights 4,Module 5,Weights 5
0,OTUD4,1.2513687983524673,LYRM1,2.5470623337169243,KRT4,1.5086733393690468,TA,2.356767976658051,SI:RP71-45K5.2,1.147978453173525,SI:DKEY-28A3.2,1.1171017420825426
1,SI:CH73-1A9.3,1.2401982331845927,AGRP2,2.2056994438887343,KRT5,1.4300683758875645,EVE1,2.1007749547722128,BTG4,1.1173222504089961,KCNK4,1.043169929449284
2,PPIB,1.214479230255916,RAPGEF6,2.148262220547252,KRT92,1.428198495157386,WNT11,1.9505569979478181,DDIT4,1.06683792834581,FTR36,1.0424549524437745
3,SI:CH211-222L21.1,1.2108250944240875,CABZ01084942.1,2.1248754723860754,KRT18,1.4267414584193052,CDX4,1.8363299505147108,SI:DKEY-11O15.10,1.0209633202865676,HS3ST3B1B,1.0327591413462542
4,KIAA0101,1.2050590189514927,MYO3A,2.091176885226603,LYE,1.4158095620661935,ZNF703,1.7547715273968238,RPAIN,0.9911780075581572,JAG1B,1.0301273592653089
5,SI:DKEY-16M19.4,1.2000935247416562,ANO9A,2.0889593102440576,KRT97,1.4061331834026967,AXIN2,1.523316380379564,HSP90AA1.2,0.9822634156403509,NRXN1B,1.0028721660208895
6,SI:DKEY-23A13.4,1.1869816442575605,SI:CH73-195I19.3,2.0473243982761713,CLDNE,1.3925491254724074,SP5A,1.5186854064357582,TDRD7A,0.9815686315039646,SI:CH211-171H4.5,0.9730257005790522
7,SI:DKEY-95P16.2,1.1839550988773389,ZGC:171775,1.909368245636277,MID1IP1A,1.382352062695125,TPBGA,1.512339180323288,CLDNG,0.9617671375951985,SI:DKEY-186O21.1,0.9711114748391434
8,SI:CH211-113A14.16,1.179990710681638,TOP1,1.8496176354423866,KRT8,1.36096152404761,MSX1B,1.4780384260284245,ZGC:56231,0.9512705658033729,RHD,0.9528583345486303
9,FTL,1.178019908758646,ZGC:173587,1.8219621463255835,SI:CH211-125O16.4,1.3498611924701036,MIXL1,1.340180469629429,ZGC:77112,0.9509682305901553,TNFAIP8L2A,0.9520347883191236
10,RPL6,1.1668086845854246,DIABLOA,1.8086277654628033,ZGC:101000,1.3472127206243765,GBX1,1.3074225587621753,SLC25A25A,0.950346384447011,RYR1A,0.9444530045070598
11,ZGC:158463,1.1601579499960082,FNIP1,1.7894760842763249,ZNF185,1.334885202000476,ZNF503,1.249763627141979,SI:DKEY-163F14.5,0.9430182796002122,GRB7,0.9432588581417857
12,TSR2,1.1598948937956592,HNRNPA0B,1.7816795213502103,CEBPB,1.3283952909250476,IM:7138239,1.191914337867106,SI:DKEY-1D7.3,0.9299769231490255,CPE,0.9240206187336975
13,GTF2H5,1.159192050675995,NME2A,1.6101503433551636,EPS8L1,1.322911086063164,DLD,1.1767163868925694,LSM14B,0.8938799773189501,CNNM1,0.9218811240281616
14,DUT,1.1585411370509202,GPRC5BB,1.5876608598383235,CLDN23,1.2967427572669348,ATP1B3A,1.1324411920020232,MID1IP1L,0.876661530849444,SI:DKEY-48G21.5,0.9063400012739116
15,ALDOB,1.1560222689284716,HUWE1,1.5174475490487072,FTR83,1.2685477338887408,ZIC2A,1.1117427798618484,NANOS3,0.871887543187065,SI:CH211-178N15.1,0.8966610614451415
16,SI:CH211-195B11.4,1.1481610313987591,KLHL22,1.3869715205025068,FA2H,1.2554224488832963,NHSL1B,1.0955764809063906,CIARTA,0.8680175203345774,LAMC1,0.8904606852770793
17,RPS17,1.1439312753916728,NRXN1B,1.374823055413983,EVPLA,1.254360674654374,PRICKLE1B,1.0494550485767813,CTH1,0.8650439258944311,NCOA7,0.8846328921631876
